instance family sat lad snd vf2 sequential no-backjumping no-all-diff no-supplementals full-all-diff threaded
si6_r005_m400.07 7 1 113124 59752 1e8 2866 3094 2778 959 535173 304
si6_r005_m400.00 7 1 280898 93229 1e8 2954 2587 2576 810 227193 382
si6_r005_m400.01 7 1 230748 135419 1e8 2899 2867 2828 600 187468 264
si6_r005_m400.02 7 1 16066 69163 1e8 2354 2362 2501 248 166945 302
si6_r005_m400.04 7 1 6654 22129 1e8 2385 2729 2544 454 110810 288
si6_r005_m400.05 7 1 343026 181624 1e8 4054 4018 3706 2660 1438238 503
si6_r005_m400.09 7 1 8066 24830 1e8 2113 2186 2112 56 3139 237
si6_r005_m400.03 7 1 550706 123700 1e8 2866 2845 3320 730 316574 386
si6_r005_m400.06 7 1 6288 30294 1e8 2280 2405 2310 154 87585 256
si6_r005_m400.08 7 1 119685 103458 1e8 2981 2966 3040 908 576127 459
si6_m4Dr6_m625.04 6 1 085 37347 10 308 228 219 34 1255 50
si6_m4Dr6_m625.01 6 1 130 29442 9 528 457 499 53 994 59
si6_m4Dr6_m625.09 6 1 094 27999 9 572 436 561 35 1520 56
si6_m4Dr6_m625.07 6 1 080 42382 11 395 401 392 53 1302 56
si6_m4Dr6_m625.00 6 1 082 32283 9 209 210 202 34 1200 50
si6_m4Dr6_m625.08 6 1 375 37638 9 241 243 235 37 1279 51
si6_m4Dr6_m625.05 6 1 080 26451 9 403 407 411 52 1236 59
si6_m4Dr6_m625.06 6 1 074 35123 9 208 208 232 34 1313 51
si6_m4Dr6_m625.02 6 1 084 44086 10 243 249 263 35 1445 50
si6_m4Dr6_m625.03 6 1 078 33272 9 341 345 334 48 1126 59
si4_m4Dr2_m625.09 6 1 190 32438 7 234 236 311 24 1199 42
si4_m4Dr2_m625.04 6 1 394 19556 7 182 136 207 35 1254 36
si4_m4Dr2_m625.02 6 1 043 18117 7 249 190 193 29 792 43
si4_m4Dr2_m625.07 6 1 044 28331 6 179 180 175 18 764 42
si4_m4Dr2_m625.00 6 1 117 21718 7 198 227 192 19 769 41
si4_m4Dr2_m625.08 6 1 145 30902 7 218 227 223 20 1359 44
si4_m4Dr2_m625.01 6 1 135 22146 7 217 240 209 19 1136 42
si4_m4Dr2_m625.06 6 1 052 24629 7 304 311 190 28 818 42
si4_m4Dr2_m625.03 6 1 391 20705 6 240 242 271 32 833 44
si4_m4Dr2_m625.05 6 1 154 30069 7 245 260 245 20 1118 48
si2_r001_m600.00 7 1 9501 13904 1e8 179 178 219 1e8 26564 108
si2_r001_m600.06 7 1 20565 64947 1e8 583 583 358 1e8 765415 145
si2_r001_m600.04 7 1 3395 12243 1e8 327 263 225 10504 176464 281
si2_r001_m600.07 7 1 115212 204846 1e8 914 1290 560 1e8 1704302 158
si2_r001_m600.02 7 1 291724 182715 1e8 189 192 181 1e8 34325 100
si2_r001_m600.08 7 1 35231 963706 1e8 385 384 261 1e8 448189 520
si2_r001_m600.03 7 1 45619301 206103 1e8 225 217 186 1e8 148083 201
si2_r001_m600.01 7 1 38436 110475 1e8 175 210 172 1e8 22778 76
si2_r001_m600.05 7 1 35371 96367 1e8 178 272 260 1e8 22699 266
si2_r001_m600.09 7 1 147831 37991 1e8 415 448 294 1e8 537233 168
si2_m4Dr2_m256.09 6 1 038 1295 1 17 15 15 14 70 15
si2_m4Dr2_m256.03 6 1 042 1952 1 18 15 15 8 768 14
si2_m4Dr2_m256.04 6 1 084 1028 1 30 29 39 116 79 15
si2_m4Dr2_m256.07 6 1 008 1296 1 11 17 18 1 38 11
si2_m4Dr2_m256.00 6 1 042 1164 1 14 14 16 17 94 11
si2_m4Dr2_m256.06 6 1 083 1920 1 17 19 16 251 354 20
si2_m4Dr2_m256.08 6 1 006 1342 1 21 25 21 2 47 13
si2_m4Dr2_m256.05 6 1 019 930 1 31 31 50 2 53 16
si2_m4Dr2_m256.01 6 1 034 935 1 13 20 13 48 84 12
si2_m4Dr2_m256.02 6 1 020 1335 1 11 11 18 17 38 11
si6_r001_m600.09 7 1 2539 41996 1e8 1087 1090 1105 47 2731 73
si6_r001_m600.00 7 1 28248 49293 1e8 1118 1143 1119 3155 8062 109
si6_r001_m600.07 7 1 10217 47890 1e8 1216 1152 1261 82 3191 82
si6_r001_m600.03 7 1 31602 86186 1e8 1219 1161 1443 76 4349 89
si6_r001_m600.01 7 1 3477 56692 1e8 1215 1211 1177 3600 5711 74
si6_r001_m600.06 7 1 2484 32559 1e8 1111 1120 1104 204 4309 71
si6_r001_m600.08 7 1 6583 64281 1e8 1171 1281 1202 1451 4380 83
si6_r001_m600.02 7 1 30458 70102 1e8 1169 1164 1166 635 3991 75
si6_r001_m600.04 7 1 4266 76934 1e8 1105 1109 1120 11499 2998 69
si6_r001_m600.05 7 1 2947 35348 1e8 1165 1299 1160 70 3742 72
si2_m4Dr2_m1296.05 6 1 748 58745 26 586 453 468 43 2289 78
si2_m4Dr2_m1296.09 6 1 740 115413 26 268 265 261 48 3154 68
si2_m4Dr2_m1296.02 6 1 2258 232447 25 507 504 505 6113 8984 91
si2_m4Dr2_m1296.07 6 1 563 147796 26 460 490 497 43 3227 77
si2_m4Dr2_m1296.00 6 1 102 71759 26 608 608 603 63 2438 88
si2_m4Dr2_m1296.06 6 1 2883 86158 27 272 280 268 2117 3347 65
si2_m4Dr2_m1296.08 6 1 1170 89603 26 276 273 293 54 2719 64
si2_m4Dr2_m1296.01 6 1 2317 68981 26 590 592 589 124277 17538 133
si2_m4Dr2_m1296.03 6 1 1228 75804 25 254 398 284 47 3609 65
si2_m4Dr2_m1296.04 6 1 148 162401 26 388 474 383 41 1674 76
si4_b06m_m800.08 4 1 079 32382 11 478 460 454 45 1036 69
si4_b06m_m800.00 4 1 136 28652 11 372 469 367 31 1549 62
si4_b06m_m800.06 4 1 085 30977 12 500 424 420 48 959 60
si4_b06m_m800.05 4 1 080 29158 11 555 558 550 31 1160 67
si4_b06m_m800.04 4 1 117 33526 12 275 279 275 34 912 56
si4_b06m_m800.09 4 1 097 32634 12 275 273 268 31 931 54
si4_b06m_m800.01 4 1 089 31340 11 449 508 443 32 1162 62
