instance family sat lad snd vf2 sequential no-backjumping no-all-diff no-supplementals full-all-diff threaded
si4_r005_m600.05 7 1 50252312 7743753 1e8 23797 23350 17813 13023 25349388 14864
si4_r005_m600.07 7 1 7315558 1686184 1e8 9172 9067 8623 3202 5306870 4202
si4_r005_m600.06 7 1 9303935 4169344 1e8 42391 41639 35562 41390 39680127 15421
si4_r005_m600.01 7 1 3885846 1220521 1e8 24886 25270 38019 14297 19086129 15883
si4_r005_m600.04 7 1 2048898 1376611 1e8 22183 21822 19031 11185 16426529 14856
si4_r005_m600.03 7 1 1445877 3479715 1e8 13869 13734 37420 6064 6193923 5284
si4_r005_m600.09 7 1 3993902 171167 1e8 5729 5709 5453 1039 1620492 2244
si4_b09_m400.05 3 1 754 6592 5 226 209 223 19 2226 76
si4_b09_m400.03 3 1 747 5481 3 210 203 203 19 2329 79
si4_b09_m400.00 3 1 708 5598 4 208 204 205 14 2267 82
si4_b09_m400.07 3 1 787 5463 5 203 226 205 18 2257 73
si4_b09_m400.01 3 1 763 5572 3 203 208 205 19 2236 79
si4_b09_m400.06 3 1 735 5874 3 204 207 219 12 2260 73
si4_b09_m400.04 3 1 760 5696 3 203 238 260 13 3104 82
si4_b09_m400.02 3 1 803 5533 4 339 202 202 12 2273 79
si4_b09_m400.08 3 1 827 5673 3 204 203 202 12 3095 77
si4_b09_m400.09 3 1 723 5446 3 215 202 202 12 2200 76
si4_b06m_m400.06 4 1 019 4507 4 76 74 91 7 275 21
si4_b06m_m400.03 4 1 022 4589 3 45 45 43 6 168 16
si4_b06m_m400.01 4 1 020 4432 3 140 139 140 7 265 26
si4_b06m_m400.08 4 1 023 4427 3 78 108 77 6 291 21
si4_b06m_m400.05 4 1 035 4542 3 107 137 123 10 224 24
si4_b06m_m400.07 4 1 033 4930 3 54 52 83 11 185 17
si4_b06m_m400.00 4 1 034 4713 3 72 73 71 8 278 19
si4_b06m_m400.04 4 1 034 4663 4 50 50 49 7 294 16
si4_b06m_m400.09 4 1 021 4862 3 64 64 65 6 162 19
si4_b06m_m400.02 4 1 020 5486 3 111 83 83 6 276 24
si2_m4Dr2_m625.05 6 1 075 9948 8 217 347 217 17 375 42
si2_m4Dr2_m625.00 6 1 224 8259 7 136 131 124 615 6598 47
si2_m4Dr2_m625.08 6 1 021 13483 5 103 162 99 14 274 33
si2_m4Dr2_m625.09 6 1 101 8384 5 109 110 110 9 326 32
si2_m4Dr2_m625.06 6 1 231 12747 6 117 158 149 91 413 33
si2_m4Dr2_m625.04 6 1 475 16656 5 68 69 69 15 693 26
si2_m4Dr2_m625.01 6 1 114 13567 9 191 170 166 23 422 39
si2_m4Dr2_m625.03 6 1 241 14912 7 68 65 61 530 320 26
si2_m4Dr2_m625.02 6 1 171 17937 5 162 117 123 43 752 35
si2_m4Dr2_m625.07 6 1 121 8515 6 57 58 56 10 307 28
si2_r005_m200.02 7 1 6013 3830 1e8 43 42 41 11 4946 27
si2_r005_m200.01 7 1 216589 7624 1e8 322 246 127 197 91563 59
si2_r005_m200.03 7 1 4472 21840 1e8 69 75 50 57 22608 43
si2_r005_m200.05 7 1 14597 124625 1e8 12778 12009 6403 3715 8766177 854
si2_r005_m200.08 7 1 48967 1135185 1e8 1572 1572 757 2873 818538 198
si2_r005_m200.04 7 1 11467 39697 1e8 6543 6366 3627 10642 5620842 671
si2_r005_m200.09 7 1 195 2100 1e8 106 73 54 299 22124 31
si2_r005_m200.06 7 1 110 2447 1e8 168 148 110 248 73294 47
si2_r005_m200.00 7 1 34375 395726 1e8 734 764 471 438 412400 76
si2_r005_m200.07 7 1 6054 3481 1e8 70 70 53 392 30662 41
si4_b03m_m400.03 4 1 011 3392 2 26 26 25 9 148 17
si4_b03m_m400.09 4 1 017 3613 3 42 29 29 10 206 18
si4_b03m_m400.08 4 1 015 3812 2 43 45 27 13 188 18
si4_b03m_m400.04 4 1 013 3586 2 28 28 41 6 180 17
si4_b03m_m400.00 4 1 019 3619 2 45 43 39 8 168 17
si4_b03m_m400.01 4 1 019 3839 2 42 43 40 9 182 20
si4_b03m_m400.07 4 1 009 3815 3 48 33 31 5 215 17
si4_b03m_m400.02 4 1 019 3781 2 41 39 55 13 175 19
si4_b03m_m400.06 4 1 011 3901 2 39 39 39 10 149 21
si4_b03m_m400.05 4 1 017 3760 2 44 28 27 8 280 17
si2_r01_m600.01 7 1 1e8 1e8 1e8 331982 325502 216415 208754 250057768 259635
si2_r01_m600.06 7 1 1e8 1e8 1e8 202663 197811 131661 121033 174195311 248064
si2_r01_m600.09 7 1 1e8 1e8 1e8 737980 721653 508367 456930 486498818 307893
si2_r01_m600.08 7 1 1e8 1e8 1e8 1245494 1216367 783018 783742 1114560515 333769
si2_r01_m600.04 7 1 1e8 1e8 1e8 1455349 1425768 945900 935338 1323610845 355620
si2_r01_m600.02 7 1 1e8 1e8 1e8 4182917 4092723 2564022 2690501 3677863093 691985
si2_r01_m600.00 7 1 1e8 1e8 1e8 26074160 25507478 16329639 16922583 1e8 1759706
si2_r01_m600.07 7 1 1e8 1e8 1e8 428607 419319 257982 275448 357073207 126934
si2_r01_m600.03 7 1 1e8 1e8 1e8 2664784 2603529 1704625 1707938 1928456554 572491
si2_r01_m600.05 7 1 1e8 1e8 1e8 243769 238297 165854 147735 185761394 130055
si4_m4Dr6_m256.01 6 1 019 2004 1 24 23 29 3 90 13
si4_m4Dr6_m256.00 6 1 096 2456 1 54 53 58 9 283 17
si4_m4Dr6_m256.05 6 1 149 2667 1 30 35 44 18 169 13
si4_m4Dr6_m256.08 6 1 078 2196 1 27 38 29 48 125 12
si4_m4Dr6_m256.03 6 1 011 3242 1 65 48 49 7 122 14
si4_m4Dr6_m256.06 6 1 083 1707 1 57 56 60 7 120 14
si4_m4Dr6_m256.09 6 1 063 2187 1 28 27 28 3 108 11
si4_m4Dr6_m256.07 6 1 388 4523 1 47 41 47 61 128 14
si4_m4Dr6_m256.02 6 1 023 2136 2 62 74 51 5 102 15
si4_m4Dr6_m256.04 6 1 144 2281 2 45 45 44 45 218 11
si2_b03m_m400.02 4 1 009 1947 1 35 21 35 5 164 16
si2_b03m_m400.00 4 1 008 1944 2 37 33 34 8 72 21
si2_b03m_m400.01 4 1 005 1986 2 28 24 24 5 112 18
si2_b03m_m400.05 4 1 006 2143 1 36 36 45 3 140 20
si2_b03m_m400.08 4 1 007 1829 3 29 29 29 4 68 20
si2_b03m_m400.07 4 1 013 2175 2 20 20 28 5 92 15
si2_b03m_m400.09 4 1 010 2037 2 28 28 31 6 62 19
si2_b03m_m400.03 4 1 005 1960 3 25 25 26 4 70 18
si2_b03m_m400.04 4 1 010 1887 3 43 30 30 3 71 20
si2_b03m_m400.06 4 1 008 1993 1 24 23 23 3 141 18
si2_b03m_m200.05 4 1 001 527 0 12 19 12 1 19 16
si2_b03m_m200.03 4 1 002 527 0 6 9 7 1 15 9
si2_b03m_m200.00 4 1 003 517 0 8 8 8 1 29 12
si2_b03m_m200.08 4 1 002 504 0 10 9 10 1 14 10
si2_b03m_m200.06 4 1 001 515 0 10 6 6 1 12 11
si2_b03m_m200.02 4 1 003 509 0 6 10 6 0 23 11
si2_b03m_m200.09 4 1 002 501 0 9 9 7 1 17 9
si2_b03m_m200.04 4 1 002 521 0 12 11 9 1 30 14
si2_b03m_m200.01 4 1 002 522 0 10 12 10 1 18 17
si2_b03m_m200.07 4 1 001 552 0 4 4 4 0 11 11
si4_r001_m200.04 7 1 035 1061 1e8 9 9 13 49 97 9
si4_r001_m200.07 7 1 038 1695 1e8 18 17 18 9 103 12
si4_r001_m200.00 7 1 020 875 1e8 10 10 10 20 124 9
si4_r001_m200.01 7 1 030 1231 279759 10 10 11 2 119 9
si4_r001_m200.03 7 1 030 1076 1e8 11 9 9 5688 169 9
si4_r001_m200.06 7 1 028 887 1e8 19 22 20 5 146 11
si4_r001_m200.05 7 1 039 882 1e8 12 13 10 3 136 10
si4_r001_m200.08 7 1 036 1176 1e8 10 10 10 6 228 11
si4_r001_m200.09 7 1 155 1920 1e8 12 12 10 1556 1844 14
si4_r001_m200.02 7 1 030 1576 1e8 17 17 17 145 467 11
si2_m4D_m256.08 5 1 025 776 1 29 27 35 9 414 15
si2_m4D_m256.03 5 1 061 823 1 25 17 16 2 40 11
si2_m4D_m256.02 5 1 020 948 1 22 23 21 8 124 19
si2_m4D_m256.06 5 1 034 853 1 17 20 17 1 55 14
si2_m4D_m256.04 5 1 009 791 1 19 15 17 4 29 13
si2_m4D_m256.07 5 1 029 951 1 21 29 26 3 41 19
si2_m4D_m256.01 5 1 033 718 1 25 24 25 2 33 11
si2_m4D_m256.09 5 1 036 896 1 23 36 23 2 59 15
si2_m4D_m256.00 5 1 019 981 1 43 42 42 2 68 22
si2_m4D_m256.05 5 1 034 753 1 18 16 17 2 64 12
si6_r01_m400.04 7 1 686100 5246465 1e8 21282 20858 36229 14000 9464445 4239
si6_r01_m400.08 7 1 79271 551755 1e8 6328 6262 8356 1481 944016 1251
si6_r01_m400.07 7 1 1148807 2934047 1e8 13761 13664 27598 6339 2990625 2300
si6_r01_m400.06 7 1 755671 1438316 1e8 12920 12709 36365 5925 1567776 1763
si6_r01_m400.05 7 1 4248429 10426085 1e8 52833 52087 70930 35228 25290909 7892
si6_r01_m400.02 7 1 8845164 1454935 1e8 15532 15352 20137 8165 6456424 2365
si6_r01_m400.00 7 1 487403 4584887 1e8 15174 15013 13505 7907 5817928 2450
si6_r01_m400.03 7 1 1695386 4845313 1e8 8910 8822 28757 3299 1907955 1623
si6_r01_m400.01 7 1 3643813 8418965 1e8 13849 13740 29704 6897 3301830 2246
si6_r01_m400.09 7 1 10809847 4059492 1e8 28562 28145 39869 17265 11194239 6826
si2_m4Dr4_m625.07 6 1 489 11341 8 145 147 144 16 483 30
si2_m4Dr4_m625.02 6 1 036 11416 7 65 66 65 15 339 31
si2_m4Dr4_m625.03 6 1 027 11658 6 204 228 201 15 336 43
si2_m4Dr4_m625.00 6 1 045 8505 8 110 111 109 9 304 33
si2_m4Dr4_m625.05 6 1 024 7334 6 120 121 176 15 260 31
si2_m4Dr4_m625.06 6 1 466 13510 6 132 135 132 569 1149 38
si2_m4Dr4_m625.09 6 1 683 13625 8 80 84 78 241084 17578 75
si2_m4Dr4_m625.01 6 1 384 18102 7 76 77 75 25 730 29
si2_m4Dr4_m625.08 6 1 737 12689 5 78 79 77 242 831 37
si2_m4Dr4_m625.04 6 1 2242 43666 5 82 93 79 14 1650 40
si4_r01_m400.01 7 1 38564845 77445946 1e8 3035 3027 3262 120 54640 1484
si4_r01_m400.08 7 1 32857113 39623748 1e8 62465 61575 51135 41573 33226238 17879
si4_r01_m400.02 7 1 8638625 82776547 1e8 223332 219520 136470 155961 138868776 21833
si4_r01_m400.03 7 1 1e8 1556120 1e8 26376 25869 16577 16681 20554075 4900
si4_r01_m400.07 7 1 20878261 38563178 1e8 52715 52205 37118 35343 27111953 5827
si4_r01_m400.06 7 1 15709266 1e8 1e8 5925 5872 7146 2751 1928683 1632
si4_r01_m400.04 7 1 1e8 7693755 1e8 201284 198012 111960 141148 132360478 20969
si4_r01_m400.00 7 1 1e8 67691303 1e8 349335 344259 203543 248270 210396692 35431
si4_r01_m400.05 7 1 53265973 55599038 1e8 13512 13297 14851 7285 8033678 5615
si4_r01_m400.09 7 1 8961636 10549131 1e8 42822 42067 26027 28423 34006983 8674
si2_b09m_m400.09 4 1 015 3029 4 78 77 96 6 117 22
si2_b09m_m400.03 4 1 234 3154 3 66 66 66 4 137 17
si2_b09m_m400.01 4 1 029 2893 4 52 52 52 3 110 16
si2_b09m_m400.08 4 1 038 2883 4 55 55 55 4 141 19
si2_b09m_m400.05 4 1 134 3007 4 66 65 65 7 121 16
si2_b09m_m400.06 4 1 027 2861 3 50 51 51 3 106 17
si2_b09m_m400.00 4 1 018 3214 4 59 57 57 4 112 16
si2_b09m_m400.02 4 1 014 2993 3 53 47 53 6 94 20
si2_b09m_m400.04 4 1 018 2894 3 51 51 50 3 98 16
si2_b09m_m400.07 4 1 027 3328 3 53 53 53 4 111 16
si2_b09_m800.07 3 1 2488 16931 11 403 404 402 27 5337 171
si2_b09_m800.04 3 1 2645 17620 10 404 404 403 27 7829 174
si2_b09_m800.05 3 1 2525 17537 15 403 407 403 27 5670 167
si2_b09_m800.00 3 1 2617 19235 10 404 405 428 34 6104 153
si2_b09_m800.02 3 1 2878 20911 15 403 404 401 28 5500 158
si2_b09_m800.01 3 1 2618 16419 11 476 411 407 36 5482 167
si2_b09_m800.08 3 1 2477 20721 15 404 405 403 27 6118 173
si2_b09_m800.09 3 1 2555 19439 15 405 416 404 28 5842 161
si2_b09_m800.03 3 1 2910 19219 10 405 403 405 27 5594 138
si2_b09_m800.06 3 1 2568 17587 10 403 404 402 27 5630 168
si6_b03_m400.04 3 1 373 4288 3 54 53 53 11 11212 125
si6_b03_m400.09 3 1 499 3980 3 60 56 54 10 10344 127
si6_b03_m400.02 3 1 363 4246 2 54 56 53 16 10584 126
si6_b03_m400.06 3 1 381 3983 3 63 62 53 16 9736 123
si6_b03_m400.05 3 1 686 3957 2 54 54 53 10 9703 135
si6_b03_m400.08 3 1 363 3902 4 57 56 53 11 10366 134
si6_b03_m400.01 3 1 707 3934 3 56 54 52 10 10828 130
si6_b03_m400.07 3 1 360 3941 3 54 54 54 11 10066 130
si6_b03_m400.03 3 1 379 4221 3 54 55 53 10 10212 127
si6_b03_m400.00 3 1 455 4110 3 60 83 53 10 11390 132
si2_r005_m600.03 7 1 1e8 8652327 1e8 25061 25307 18959 17450 31102186 51859
si2_r005_m600.00 7 1 1e8 54111857 1e8 472606 478069 283526 265547 574519125 51974
si2_r005_m600.06 7 1 1e8 22511697 1e8 31592 31431 19695 22938 36828335 22552
si2_r005_m600.01 7 1 1e8 19139209 1e8 119855 122752 73550 86180 163132154 22513
si2_r005_m600.04 7 1 1e8 5285896 1e8 299135 308483 180433 223279 368402027 57381
si2_r005_m600.09 7 1 4494516 4387057 1e8 34019 33291 23691 22680 35586453 44554
si2_r005_m600.05 7 1 1e8 33986595 1e8 1452407 1464829 895348 160850 2212859283 135481
si2_r005_m600.02 7 1 1e8 30596001 1e8 337038 340345 209707 208163 442568131 70055
si2_r005_m600.08 7 1 1e8 41765878 1e8 73800 73904 45049 640980 89653115 11586
si2_r005_m600.07 7 1 1e8 12805487 1e8 10790 10598 7777 13980 13382407 17565
si4_r01_m600.05 7 1 1e8 1e8 1e8 62298 61172 89027 29793 16974121 39114
si4_r01_m600.02 7 1 54735630 1e8 1e8 64315 63081 59205 32408 35056422 75883
si4_r01_m600.03 7 1 1e8 1e8 1e8 239710 234643 206136 145178 162120137 102858
si4_r01_m600.07 7 1 1e8 31352200 1e8 481802 472866 406126 297899 292230156 266376
si4_r01_m600.08 7 1 1e8 1e8 1e8 387197 380952 310729 243484 250794930 201108
si4_r01_m600.06 7 1 1e8 1e8 1e8 165848 162945 136854 98986 117277312 89919
si4_r01_m600.01 7 1 1e8 1e8 1e8 1076392 1050695 720438 690629 935585864 386252
si4_r01_m600.04 7 1 89810232 1e8 1e8 343388 336849 311082 216752 232334368 194369
si4_r01_m600.00 7 1 1e8 1e8 1e8 750431 735086 713551 483534 430585394 199885
si4_r01_m600.09 7 1 1e8 1e8 1e8 247343 244504 425148 150730 116843188 96274
si2_b09_m400.04 3 1 334 3691 4 107 102 102 6 236 27
si2_b09_m400.08 3 1 349 3245 4 103 102 101 6 248 29
si2_b09_m400.05 3 1 349 3008 4 102 103 102 6 248 27
si2_b09_m400.01 3 1 346 3101 4 104 103 102 8 236 29
si2_b09_m400.03 3 1 613 3133 4 103 102 104 9 247 28
si2_b09_m400.02 3 1 637 2905 4 103 103 109 7 244 31
si2_b09_m400.07 3 1 355 2972 2 121 103 116 10 241 30
si2_b09_m400.09 3 1 338 3614 2 102 102 102 6 238 30
si2_b09_m400.06 3 1 340 3005 3 104 103 102 6 251 30
si2_b09_m400.00 3 1 668 3141 4 102 102 102 6 238 29
si4_b06_m200.06 3 1 071 801 0 29 43 41 3 332 13
si4_b06_m200.03 3 1 070 794 1 30 28 27 4 329 12
si4_b06_m200.02 3 1 073 812 1 27 27 27 2 572 13
si4_b06_m200.07 3 1 072 730 0 27 42 31 4 548 12
si4_b06_m200.05 3 1 072 745 1 29 30 28 3 533 13
si4_b06_m200.08 3 1 132 742 0 27 27 28 3 529 12
si4_b06_m200.00 3 1 108 803 0 27 27 29 2 327 11
si4_b06_m200.04 3 1 075 710 1 28 27 29 2 528 12
si4_b06_m200.01 3 1 071 907 0 28 32 27 3 324 13
si4_b06_m200.09 3 1 136 773 1 28 31 33 2 331 12
si4_r005_m400.06 7 1 70620 43743 1e8 3553 3489 2749 1168 2598936 815
si4_r005_m400.03 7 1 124423 71693 1e8 1610 1606 2173 3948 435662 322
si4_r005_m400.07 7 1 127690 244067 1e8 4082 4056 2839 3632 2862086 1276
si4_r005_m400.01 7 1 239957 349039 1e8 1466 1462 1482 467 370820 324
si4_r005_m400.04 7 1 1277791 602300 1e8 1731 1719 1511 728 761256 451
si4_r005_m400.00 7 1 2496118 173702 1e8 1770 1762 1517 728 865839 792
si4_r005_m400.09 7 1 548989 174406 1e8 1972 2122 1671 866 988435 601
si4_r005_m400.05 7 1 130111 200058 1e8 1501 1501 1687 527 472751 304
si4_r005_m400.08 7 1 2451669 606458 1e8 1202 1200 1172 145 162834 220
si4_r005_m400.02 7 1 714530 616461 1e8 3904 4119 3236 3118 1700393 501
si4_m4Dr2_m1296.07 6 1 198 192773 33 2067 2060 2046 129 9220 168
si4_m4Dr2_m1296.00 6 1 196 227778 43 827 826 808 130 7144 132
si4_m4Dr2_m1296.05 6 1 251 230721 31 899 873 891 93 7190 126
si4_m4Dr2_m1296.04 6 1 205 181918 31 448 450 430 92 7388 113
si4_m4Dr2_m1296.08 6 1 3300 212645 44 1057 1054 1029 336 7096 125
si4_m4Dr2_m1296.01 6 1 332 199577 31 1148 1137 1123 130 6368 131
si4_m4Dr2_m1296.06 6 1 206 158194 32 778 795 755 92 5697 121
si4_m4Dr2_m1296.02 6 1 221 233560 31 721 1083 709 94 5964 120
si4_m4Dr2_m1296.03 6 1 4049 363949 33 604 611 595 878 7902 111
si4_m4Dr2_m1296.09 6 1 494 211683 32 982 981 989 138 11244 119
si6_b09_m800.03 3 1 8576 67016 17 1194 1197 1186 86 81662 408
si6_b09_m800.09 3 1 9516 62530 16 1196 1196 1186 86 85049 465
si6_b09_m800.07 3 1 8192 66701 13 1193 1195 1184 86 97687 427
si6_b09_m800.05 3 1 8550 68550 20 1196 1201 1189 86 85992 441
si6_b09_m800.04 3 1 9434 67531 19 1195 1202 1185 136 88018 428
si6_b09_m800.01 3 1 8667 59558 13 1842 1221 1731 135 82257 409
si6_b09_m800.00 3 1 9448 56384 18 1197 1196 1187 86 86381 397
si6_b09_m800.02 3 1 7571 60309 13 1194 1196 1184 86 84975 418
si6_b09_m800.06 3 1 8630 58707 20 1298 1196 1245 87 86560 394
si6_b09_m800.08 3 1 8145 58144 13 1197 1200 1251 141 87429 424
si6_b06m_m400.00 4 1 032 7718 4 259 254 253 15 405 40
si6_b06m_m400.08 4 1 028 7713 6 155 159 151 11 317 28
si6_b06m_m400.03 4 1 055 7676 5 127 127 127 11 458 32
si6_b06m_m400.04 4 1 032 6987 4 282 280 280 10 469 49
si6_b06m_m400.06 4 1 033 6908 3 197 193 184 17 327 35
si6_b06m_m400.07 4 1 049 7554 6 61 61 58 12 257 22
si6_b06m_m400.09 4 1 052 7692 4 154 153 153 11 321 29
si6_b06m_m400.02 4 1 051 7797 6 67 66 65 13 292 20
si6_b06m_m400.01 4 1 036 7900 5 54 54 52 10 225 21
si6_b06m_m400.05 4 1 053 6888 5 64 64 62 11 260 19
si2_m4Dr4_m1296.08 6 1 1309 221307 27 304 300 295 52 5028 71
si2_m4Dr4_m1296.07 6 1 304 80448 27 308 444 434 42 3041 69
si2_m4Dr4_m1296.03 6 1 3610 115253 27 319 315 327 217 2977 69
si2_m4Dr4_m1296.05 6 1 109 58781 38 670 671 665 40 1332 117
si2_m4Dr4_m1296.06 6 1 176 59493 27 479 552 492 53 1791 85
si2_m4Dr4_m1296.04 6 1 179 87882 28 687 691 567 73 2830 86
si2_m4Dr4_m1296.09 6 1 1099 111516 27 272 271 261 54 2050 67
si2_m4Dr4_m1296.01 6 1 1184 132752 27 541 541 536 67 3218 76
si2_m4Dr4_m1296.00 6 1 515 123886 38 496 497 523 84 1842 76
si2_m4Dr4_m1296.02 6 1 2348 90980 26 289 283 279 148 4226 67
si6_m4Dr6_m1296.02 6 1 2302 548468 42 1137 1133 1092 194 10738 173
si6_m4Dr6_m1296.08 6 1 372 392813 42 1080 1075 1034 174 10913 178
si6_m4Dr6_m1296.07 6 1 482 248538 48 1081 1076 1035 176 9839 185
si6_m4Dr6_m1296.06 6 1 376 298661 44 980 976 937 174 9361 190
si6_m4Dr6_m1296.03 6 1 669 343925 45 1138 1141 1097 264 9409 177
si6_m4Dr6_m1296.04 6 1 764 286282 59 1137 1135 1074 176 10146 177
si6_m4Dr6_m1296.05 6 1 1038 504107 42 2170 2166 2127 177 11297 200
si6_m4Dr6_m1296.00 6 1 374 279793 42 1076 1685 1684 220 9984 179
si6_m4Dr6_m1296.09 6 1 369 236640 41 969 994 923 173 7788 176
si6_m4Dr6_m1296.01 6 1 431 357276 46 1751 1746 1711 174 8466 196
si4_m4Dr2_m256.00 6 1 030 1193 2 38 44 37 9 164 15
si4_m4Dr2_m256.01 6 1 010 1684 1 41 48 43 2 79 18
si4_m4Dr2_m256.05 6 1 015 2433 1 81 80 80 2 139 21
si4_m4Dr2_m256.04 6 1 026 3055 2 70 72 70 5 125 20
si4_m4Dr2_m256.08 6 1 010 1772 1 57 67 58 4 122 17
si4_m4Dr2_m256.07 6 1 044 1897 2 29 29 20 4 157 12
si4_m4Dr2_m256.06 6 1 027 1571 1 52 55 51 4 95 14
si4_m4Dr2_m256.02 6 1 012 1630 1 33 32 31 4 79 14
si4_m4Dr2_m256.09 6 1 024 1507 1 117 115 116 6 165 25
si4_m4Dr2_m256.03 6 1 039 1932 1 39 33 34 5 100 15
si4_b09m_m200.01 4 1 008 1133 1 31 33 32 3 62 12
si4_b09m_m200.00 4 1 009 1043 1 33 33 33 3 65 11
si4_b09m_m200.03 4 1 045 1291 1 67 66 66 3 98 15
si4_b09m_m200.06 4 1 080 1144 1 53 52 53 3 119 12
si4_b09m_m200.02 4 1 013 1238 1 54 56 78 2 79 14
si4_b09m_m200.04 4 1 018 1148 2 60 59 61 2 84 15
si4_b09m_m200.05 4 1 012 1195 1 44 44 44 3 55 12
si4_b09m_m200.07 4 1 015 1256 1 56 59 62 2 114 15
si4_b09m_m200.08 4 1 012 1104 1 26 25 29 3 51 13
si4_b09m_m200.09 4 1 010 1103 1 62 59 61 3 148 15
si4_m4Dr4_m625.07 6 1 310 30632 8 140 142 135 21 1685 40
si4_m4Dr4_m625.05 6 1 050 18775 7 210 210 207 20 732 43
si4_m4Dr4_m625.01 6 1 060 23244 11 219 212 211 28 771 40
si4_m4Dr4_m625.08 6 1 421 34891 7 134 134 132 21 967 36
si4_m4Dr4_m625.09 6 1 158 15079 7 229 232 226 20 1190 43
si4_m4Dr4_m625.00 6 1 1372 15860 7 146 148 144 118 1074 35
si4_m4Dr4_m625.04 6 1 082 27213 11 224 227 347 18 785 46
si4_m4Dr4_m625.06 6 1 507 19666 7 149 136 128 20 952 37
si4_m4Dr4_m625.03 6 1 170 21541 8 124 124 121 22 890 36
si4_m4Dr4_m625.02 6 1 049 15675 8 291 291 281 43 565 44
si4_m4Dr4_m1296.03 6 1 658 296548 42 954 975 934 93 11009 123
si4_m4Dr4_m1296.01 6 1 1896 147497 48 557 555 538 101 7286 109
si4_m4Dr4_m1296.00 6 1 225 177193 33 959 948 930 151 4907 124
si4_m4Dr4_m1296.07 6 1 376 125712 32 1063 1047 1039 95 6023 126
si4_m4Dr4_m1296.02 6 1 225 140586 40 817 815 807 93 5679 124
si4_m4Dr4_m1296.04 6 1 396 207584 34 547 547 528 95 6326 107
si4_m4Dr4_m1296.09 6 1 375 315098 33 1083 1032 1015 96 7982 119
si4_m4Dr4_m1296.06 6 1 5092 392983 33 605 598 581 218 8802 108
si4_m4Dr4_m1296.08 6 1 375 193298 33 1638 1631 1617 150 5114 149
si4_m4Dr4_m1296.05 6 1 3130 333410 47 622 622 615 164 7555 108
si2_r005_m400.05 7 1 1e8 50280 1e8 4506 4459 2586 4825 5773544 2339
si2_r005_m400.06 7 1 11827874 1525619 1e8 2423 2428 1528 1457 2947160 1654
si2_r005_m400.08 7 1 140262 192495 1e8 2883 2899 1736 3031 3316139 1349
si2_r005_m400.02 7 1 713995 5246601 1e8 388342 391193 198071 74097 450718661 33837
si2_r005_m400.03 7 1 67483421 1392324 1e8 6386 6740 3574 1173 8303295 885
si2_r005_m400.00 7 1 7889372 925908 1e8 1563 1675 1072 1355 1372368 559
si2_r005_m400.07 7 1 89634207 4355863 1e8 14194 13960 7012 1627 14312806 1262
si2_r005_m400.09 7 1 50220808 68332 1e8 633 634 574 146 168720 191
si2_r005_m400.04 7 1 1105825 1267279 1e8 8604 8457 4283 10261 9321933 2701
si2_r005_m400.01 7 1 8443404 866856 1e8 818 790 792 237 465585 326
si2_b06m_m400.03 4 1 009 2411 4 64 66 64 3 117 23
si2_b06m_m400.06 4 1 014 2855 3 63 63 64 3 120 22
si2_b06m_m400.05 4 1 033 2443 2 58 59 58 4 169 19
si2_b06m_m400.01 4 1 011 2421 2 46 47 47 5 89 18
si2_b06m_m400.00 4 1 012 2867 3 81 67 67 4 174 22
si2_b06m_m400.08 4 1 014 2604 2 128 129 129 4 154 40
si2_b06m_m400.07 4 1 013 2631 3 87 85 85 4 134 24
si2_b06m_m400.09 4 1 018 2463 3 58 58 58 3 108 17
si2_b06m_m400.04 4 1 057 2424 2 55 55 56 3 111 18
si2_b06m_m400.02 4 1 011 2678 3 41 33 33 6 140 13
si6_r005_m600.02 7 1 563631 376793 1e8 10798 10750 13538 1988 2003007 2884
si6_r005_m600.08 7 1 1125412 558220 1e8 11179 10705 10713 1766 2756834 1833
si6_r005_m600.03 7 1 583854 765634 1e8 26101 25635 22818 13075 20002501 10574
si6_r005_m600.05 7 1 259392 176272 1e8 20537 19388 22969 8915 8768308 7116
si6_r005_m600.07 7 1 2130236 540736 1e8 19645 18804 17689 6932 11159719 5693
si6_r005_m600.04 7 1 2078879 602171 1e8 22759 22235 29324 10047 10973340 6123
si6_r005_m600.06 7 1 6291050 977713 1e8 38033 37603 40939 21004 24188161 13822
si6_r005_m600.01 7 1 94710 242412 1e8 10659 10747 14130 1556 728579 1139
si6_r005_m600.09 7 1 149579 139966 1e8 26072 25803 32099 13179 12112596 10176
si6_r005_m600.00 7 1 430948 271136 1e8 10748 10730 11421 1756 1470420 1721
si6_r005_m200.02 7 1 4792 5746 1e8 224 228 209 44 6763 52
si6_r005_m200.08 7 1 6676 6493 1e8 214 209 231 53 4985 44
si6_r005_m200.09 7 1 1768 2679 1e8 207 201 206 10 826 40
si6_r005_m200.05 7 1 1917 5082 1e8 222 217 224 241 7581 36
si6_r005_m200.03 7 1 3669 5331 1e8 207 205 206 16 1875 31
si6_r005_m200.00 7 1 11793 5609 1e8 237 204 207 278 2420 39
si6_r005_m200.04 7 1 857 4918 1e8 215 209 214 75 2221 28
si6_r005_m200.07 7 1 1864 4899 1e8 207 202 203 24 4712 30
si6_r005_m200.01 7 1 499 2443 1e8 202 311 202 8 784 31
si6_r005_m200.06 7 1 376 2377 1e8 199 195 199 6 302 25
si2_m4Dr6_m625.06 6 1 171 13922 7 68 98 76 10 550 30
