instance sat family size gpgnode/vbbjdpd flint/vbbjdpdfad gpgnode/vbbjdpdnocad
si2-b09-m400.05 1 3 400 81 81 81
si2-b09-m400.01 1 3 400 81 81 81
si2-b09-m400.03 1 3 400 81 81 81
si2-b09-m400.02 1 3 400 81 81 81
si2-b09-m400.07 1 3 400 81 81 81
si2-b09-m400.09 1 3 400 81 81 81
si2-b09-m400.06 1 3 400 81 81 81
si2-b09-m400.00 1 3 400 81 81 81
si4-b06-m200.06 1 3 200 81 81 81
si4-b06-m200.03 1 3 200 81 81 81
si4-b06-m200.02 1 3 200 81 81 81
si4-b06-m200.07 1 3 200 81 81 81
si4-b06-m200.05 1 3 200 81 81 81
si4-b06-m200.08 1 3 200 81 81 81
si4-b06-m200.00 1 3 200 81 81 81
si4-b06-m200.04 1 3 200 81 81 81
si4-b06-m200.01 1 3 200 81 81 81
si4-b06-m200.09 1 3 200 81 81 81
si4-r005-m400.06 1 7 400 73855 67890 146296
si4-r005-m400.03 1 7 400 12970 10225 91029
si4-r005-m400.07 1 7 400 88257 83884 138263
si4-r005-m400.01 1 7 400 9839 9655 37046
si4-r005-m400.04 1 7 400 20794 18951 35362
si4-r005-m400.00 1 7 400 21922 20839 38670
si4-r005-m400.09 1 7 400 24771 23995 53801
si4-r005-m400.05 1 7 400 10910 10547 47857
si4-r005-m400.08 1 7 400 3865 3850 9880
si4-r005-m400.02 1 7 400 56685 53078 124382
si4-m4Dr2-m1296.07 1 6 1296 519 519 519
si4-m4Dr2-m1296.00 1 6 1296 519 519 519
si4-m4Dr2-m1296.05 1 6 1296 519 519 519
si4-m4Dr2-m1296.04 1 6 1296 519 519 519
si4-m4Dr2-m1296.08 1 6 1296 519 519 519
si4-m4Dr2-m1296.01 1 6 1296 519 519 519
si4-m4Dr2-m1296.06 1 6 1296 519 519 519
si4-m4Dr2-m1296.02 1 6 1296 519 519 519
si4-m4Dr2-m1296.03 1 6 1296 519 519 519
si4-m4Dr2-m1296.09 1 6 1296 519 519 519
si6-b09-m800.03 1 3 800 481 481 481
si6-b09-m800.09 1 3 800 481 481 481
si6-b09-m800.07 1 3 800 481 481 481
si6-b09-m800.05 1 3 800 481 481 481
si6-b09-m800.04 1 3 800 481 481 481
si6-b09-m800.01 1 3 800 481 481 481
si6-b09-m800.00 1 3 800 481 481 481
si6-b09-m800.02 1 3 800 481 481 481
si6-b09-m800.06 1 3 800 481 481 481
si6-b09-m800.08 1 3 800 481 481 481
si6-b06m-m400.00 1 4 400 241 241 241
si6-b06m-m400.08 1 4 400 241 241 241
si6-b06m-m400.03 1 4 400 241 241 241
si6-b06m-m400.04 1 4 400 241 241 241
si6-b06m-m400.06 1 4 400 241 241 241
si6-b06m-m400.07 1 4 400 241 241 241
si6-b06m-m400.09 1 4 400 241 241 241
si6-b06m-m400.02 1 4 400 241 241 241
si6-b06m-m400.01 1 4 400 241 241 241
si6-b06m-m400.05 1 4 400 241 241 241
si2-m4Dr4-m1296.08 1 6 1296 268 267 269
si2-m4Dr4-m1296.07 1 6 1296 260 260 260
si2-m4Dr4-m1296.03 1 6 1296 260 260 260
si2-m4Dr4-m1296.05 1 6 1296 260 260 260
si2-m4Dr4-m1296.06 1 6 1296 260 260 260
si2-m4Dr4-m1296.04 1 6 1296 260 260 260
si2-m4Dr4-m1296.09 1 6 1296 260 260 260
si2-m4Dr4-m1296.01 1 6 1296 261 261 261
si2-m4Dr4-m1296.00 1 6 1296 260 260 261
si2-m4Dr4-m1296.02 1 6 1296 263 263 265
si6-m4Dr6-m1296.02 1 6 1296 778 778 778
si6-m4Dr6-m1296.08 1 6 1296 778 778 778
si6-m4Dr6-m1296.07 1 6 1296 778 778 778
si6-m4Dr6-m1296.06 1 6 1296 778 778 778
si6-m4Dr6-m1296.03 1 6 1296 778 778 778
si6-m4Dr6-m1296.04 1 6 1296 778 778 778
si6-m4Dr6-m1296.05 1 6 1296 778 778 778
si6-m4Dr6-m1296.00 1 6 1296 778 778 778
si6-m4Dr6-m1296.09 1 6 1296 778 778 778
si6-m4Dr6-m1296.01 1 6 1296 778 778 778
si4-m4Dr2-m256.00 1 6 256 106 105 107
si4-m4Dr2-m256.01 1 6 256 103 103 103
si4-m4Dr2-m256.05 1 6 256 103 103 103
si4-m4Dr2-m256.04 1 6 256 103 103 103
si4-m4Dr2-m256.08 1 6 256 103 103 103
si4-m4Dr2-m256.07 1 6 256 103 103 103
si4-m4Dr2-m256.06 1 6 256 103 103 103
si4-m4Dr2-m256.02 1 6 256 103 103 103
si4-m4Dr2-m256.09 1 6 256 104 104 105
si4-m4Dr2-m256.03 1 6 256 103 103 103
si4-b09m-m200.01 1 4 200 81 81 81
si4-b09m-m200.00 1 4 200 81 81 82
si4-b09m-m200.03 1 4 200 81 81 82
si4-b09m-m200.06 1 4 200 81 81 89
si4-b09m-m200.02 1 4 200 81 81 81
si4-b09m-m200.04 1 4 200 81 81 81
si4-b09m-m200.05 1 4 200 81 81 81
si4-b09m-m200.07 1 4 200 81 81 81
si4-b09m-m200.08 1 4 200 81 81 81
si4-b09m-m200.09 1 4 200 81 81 83
si4-m4Dr4-m625.07 1 6 625 251 251 251
si4-m4Dr4-m625.05 1 6 625 251 251 251
si4-m4Dr4-m625.01 1 6 625 251 251 251
si4-m4Dr4-m625.08 1 6 625 251 251 251
si4-m4Dr4-m625.09 1 6 625 251 251 251
si4-m4Dr4-m625.00 1 6 625 251 251 251
si4-m4Dr4-m625.04 1 6 625 251 251 251
si4-m4Dr4-m625.06 1 6 625 251 251 251
si4-m4Dr4-m625.03 1 6 625 251 251 251
si4-m4Dr4-m625.02 1 6 625 251 251 251
si4-m4Dr4-m1296.03 1 6 1296 519 519 519
si4-m4Dr4-m1296.01 1 6 1296 519 519 519
si4-m4Dr4-m1296.00 1 6 1296 519 519 519
si4-m4Dr4-m1296.07 1 6 1296 519 519 519
si4-m4Dr4-m1296.02 1 6 1296 519 519 519
si4-m4Dr4-m1296.04 1 6 1296 519 519 519
si4-m4Dr4-m1296.09 1 6 1296 519 519 519
si4-m4Dr4-m1296.06 1 6 1296 520 520 520
si4-m4Dr4-m1296.08 1 6 1296 519 519 519
si4-m4Dr4-m1296.05 1 6 1296 519 519 519
si2-r005-m400.05 1 7 400 330312 329638 414209
si2-r005-m400.06 1 7 400 154361 153597 171777
si2-r005-m400.08 1 7 400 194745 193401 219276
si2-r005-m400.02 1 7 400 33708162 33013488 38536745
si2-r005-m400.03 1 7 400 497641 494868 574469
si2-r005-m400.00 1 7 400 82796 80948 104811
si2-r005-m400.07 1 7 400 1182260 1177678 1243394
si2-r005-m400.09 1 7 400 10974 10532 15987
si2-r005-m400.04 1 7 400 679787 675849 739743
si2-r005-m400.01 1 7 400 22207 22083 41130
si2-b06m-m400.03 1 4 400 81 81 81
si2-b06m-m400.06 1 4 400 81 81 81
si2-b06m-m400.05 1 4 400 81 81 82
si2-b06m-m400.01 1 4 400 81 81 82
si2-b06m-m400.00 1 4 400 81 81 81
si2-b06m-m400.08 1 4 400 81 81 81
si2-b06m-m400.07 1 4 400 81 81 81
si2-b06m-m400.09 1 4 400 81 81 81
si2-b06m-m400.04 1 4 400 81 81 81
si2-b06m-m400.02 1 4 400 81 81 81
si6-r005-m600.02 1 7 600 14016 10064 88714
si6-r005-m600.08 1 7 600 14982 11969 37163
si6-r005-m600.03 1 7 600 119376 102086 221070
si6-r005-m600.05 1 7 600 61410 48521 222213
si6-r005-m600.07 1 7 600 58146 47578 140295
si6-r005-m600.04 1 7 600 56064 49402 291910
si6-r005-m600.06 1 7 600 155248 113202 455121
si6-r005-m600.01 1 7 600 3720 3019 90948
si6-r005-m600.09 1 7 600 86272 60238 349278
si6-r005-m600.00 1 7 600 9185 5416 43329
si6-r005-m200.02 1 7 200 728 668 1312
si6-r005-m200.08 1 7 200 586 530 2062
si6-r005-m200.09 1 7 200 169 166 224
si6-r005-m200.05 1 7 200 850 767 3414
si6-r005-m200.03 1 7 200 267 252 724
si6-r005-m200.00 1 7 200 326 308 574
si6-r005-m200.04 1 7 200 294 268 1173
si6-r005-m200.07 1 7 200 400 355 955
si6-r005-m200.01 1 7 200 157 151 201
si6-r005-m200.06 1 7 200 121 121 132
si2-m4Dr6-m625.06 1 6 625 126 126 126
si2-m4Dr6-m625.08 1 6 625 126 126 126
si2-m4Dr6-m625.07 1 6 625 126 126 126
si2-m4Dr6-m625.03 1 6 625 126 126 126
si2-m4Dr6-m625.04 1 6 625 128 128 129
si2-m4Dr6-m625.05 1 6 625 126 126 126
si2-m4Dr6-m625.09 1 6 625 129 127 132
si2-m4Dr6-m625.01 1 6 625 127 127 127
si2-m4Dr6-m625.02 1 6 625 130 126 130
si2-m4Dr6-m625.00 1 6 625 126 126 126
si6-b03-m800.02 1 3 800 481 481 481
si6-b03-m800.04 1 3 800 481 481 481
si6-b03-m800.03 1 3 800 481 481 481
si6-b03-m800.05 1 3 800 481 481 481
si6-b03-m800.06 1 3 800 481 481 481
si6-b03-m800.01 1 3 800 481 481 481
si6-b03-m800.00 1 3 800 481 481 481
si6-b03-m800.07 1 3 800 481 481 481
si6-b03-m800.09 1 3 800 481 481 481
si6-b03-m800.08 1 3 800 481 481 481
si4-m4D-m1296.09 1 5 1296 519 519 519
si4-m4D-m1296.06 1 5 1296 519 519 519
si4-m4D-m1296.05 1 5 1296 519 519 519
si4-m4D-m1296.00 1 5 1296 757 742 663
si4-m4D-m1296.03 1 5 1296 1357 1262 3115
si4-m4D-m1296.04 1 5 1296 519 519 519
si4-m4D-m1296.08 1 5 1296 1000000000 1000000000 1000000000
si4-m4D-m1296.02 1 5 1296 1783 1459 3696
si4-m4D-m1296.01 1 5 1296 519 519 519
si4-m4D-m1296.07 1 5 1296 519 519 519
si6-b03m-m400.03 1 4 400 241 241 241
si6-b03m-m400.01 1 4 400 241 241 241
si6-b03m-m400.09 1 4 400 241 241 241
si6-b03m-m400.08 1 4 400 241 241 241
si6-b03m-m400.07 1 4 400 241 241 241
si6-b03m-m400.02 1 4 400 241 241 241
si6-b03m-m400.05 1 4 400 241 241 241
si6-b03m-m400.00 1 4 400 241 241 241
si6-b03m-m400.06 1 4 400 241 241 241
si6-b03m-m400.04 1 4 400 241 241 241
si4-m4D-m256.07 1 5 256 103 103 103
si4-m4D-m256.06 1 5 256 103 103 103
si4-m4D-m256.05 1 5 256 103 103 103
si4-m4D-m256.08 1 5 256 119 114 153
si4-m4D-m256.04 1 5 256 103 103 141
si4-m4D-m256.09 1 5 256 147 135 212
si4-m4D-m256.02 1 5 256 103 103 110
si4-m4D-m256.00 1 5 256 130 119 183
si4-m4D-m256.03 1 5 256 104 103 103
si4-m4D-m256.01 1 5 256 103 103 139
si6-b06m-m800.07 1 4 800 481 481 481
si6-b06m-m800.04 1 4 800 481 481 482
si6-b06m-m800.01 1 4 800 481 481 481
si6-b06m-m800.00 1 4 800 481 481 481
si6-b06m-m800.05 1 4 800 481 481 481
si6-b06m-m800.08 1 4 800 481 481 481
si6-b06m-m800.09 1 4 800 481 481 481
si6-b06m-m800.02 1 4 800 481 481 481
si6-b06m-m800.03 1 4 800 481 481 481
si6-b06m-m800.06 1 4 800 481 481 481
si4-r001-m400.08 1 7 400 308 298 382
si4-r001-m400.06 1 7 400 162 161 162
si4-r001-m400.02 1 7 400 161 161 161
si4-r001-m400.00 1 7 400 994 990 1117
si4-r001-m400.04 1 7 400 187 187 191
si4-r001-m400.03 1 7 400 164 164 164
si4-r001-m400.09 1 7 400 170 167 206
si4-r001-m400.05 1 7 400 3815 3743 4305
si4-r001-m400.01 1 7 400 166 166 171
si4-r001-m400.07 1 7 400 170 170 183
si2-m4Dr6-m1296.00 1 6 1296 260 260 260
si2-m4Dr6-m1296.01 1 6 1296 260 260 260
si2-m4Dr6-m1296.09 1 6 1296 260 260 260
si2-m4Dr6-m1296.06 1 6 1296 260 260 260
si2-m4Dr6-m1296.03 1 6 1296 260 260 260
si2-m4Dr6-m1296.02 1 6 1296 260 260 260
si2-m4Dr6-m1296.05 1 6 1296 260 260 260
si2-m4Dr6-m1296.08 1 6 1296 260 260 260
si2-m4Dr6-m1296.04 1 6 1296 260 260 260
si2-m4Dr6-m1296.07 1 6 1296 262 262 262
si2-b03-m800.07 1 3 800 161 161 161
si2-b03-m800.08 1 3 800 161 161 161
si2-b03-m800.04 1 3 800 161 161 161
si2-b03-m800.05 1 3 800 161 161 161
si2-b03-m800.09 1 3 800 161 161 161
si2-b03-m800.00 1 3 800 161 161 161
si2-b03-m800.02 1 3 800 161 161 161
si2-b03-m800.03 1 3 800 161 161 161
si2-b03-m800.01 1 3 800 161 161 161
si2-b03-m800.06 1 3 800 161 161 161
si4-b03m-m200.05 1 4 200 81 81 81
si4-b03m-m200.02 1 4 200 81 81 81
si4-b03m-m200.04 1 4 200 81 81 81
si4-b03m-m200.07 1 4 200 81 81 81
si4-b03m-m200.00 1 4 200 81 81 81
si4-b03m-m200.06 1 4 200 81 81 81
si4-b03m-m200.03 1 4 200 81 81 81
si4-b03m-m200.09 1 4 200 81 81 81
si4-b03m-m200.08 1 4 200 81 81 81
si4-b03m-m200.01 1 4 200 81 81 81
si2-b06m-m200.04 1 4 200 41 41 41
si2-b06m-m200.03 1 4 200 41 41 41
si2-b06m-m200.08 1 4 200 41 41 41
si2-b06m-m200.06 1 4 200 41 41 41
si2-b06m-m200.05 1 4 200 41 41 41
si2-b06m-m200.02 1 4 200 41 41 41
si2-b06m-m200.00 1 4 200 41 41 41
si2-b06m-m200.01 1 4 200 41 41 41
si2-b06m-m200.09 1 4 200 41 41 47
si2-b06m-m200.07 1 4 200 41 41 43
si6-m4Dr4-m625.05 1 6 625 376 376 376
si6-m4Dr4-m625.09 1 6 625 376 376 376
si6-m4Dr4-m625.04 1 6 625 376 376 376
si6-m4Dr4-m625.00 1 6 625 376 376 376
si6-m4Dr4-m625.08 1 6 625 376 376 376
si6-m4Dr4-m625.06 1 6 625 376 376 376
si6-m4Dr4-m625.01 1 6 625 376 376 376
si6-m4Dr4-m625.03 1 6 625 376 376 376
si6-m4Dr4-m625.07 1 6 625 376 376 376
si6-m4Dr4-m625.02 1 6 625 376 376 376
si4-b03-m200.06 1 3 200 81 81 81
si4-b03-m200.02 1 3 200 81 81 81
si4-b03-m200.07 1 3 200 81 81 81
si4-b03-m200.04 1 3 200 81 81 81
si4-b03-m200.03 1 3 200 81 81 81
si4-b03-m200.05 1 3 200 81 81 81
si4-b03-m200.09 1 3 200 81 81 81
si4-b03-m200.01 1 3 200 81 81 81
si4-b03-m200.00 1 3 200 81 81 81
si4-b03-m200.08 1 3 200 81 81 81
si2-b03-m400.03 1 3 400 81 81 81
si2-b03-m400.06 1 3 400 81 81 81
si2-b03-m400.07 1 3 400 81 81 81
si2-b03-m400.01 1 3 400 81 81 81
si2-b03-m400.05 1 3 400 81 81 81
si2-b03-m400.09 1 3 400 81 81 81
si2-b03-m400.02 1 3 400 81 81 81
si2-b03-m400.00 1 3 400 81 81 81
si2-b03-m400.08 1 3 400 81 81 81
si2-b03-m400.04 1 3 400 81 81 81
si4-b09-m200.02 1 3 200 81 81 81
si4-b09-m200.01 1 3 200 81 81 81
si4-b09-m200.00 1 3 200 81 81 81
si4-b09-m200.09 1 3 200 81 81 81
si4-b09-m200.08 1 3 200 81 81 81
si4-b09-m200.04 1 3 200 81 81 81
si4-b09-m200.06 1 3 200 81 81 81
si4-b09-m200.05 1 3 200 81 81 81
si4-b09-m200.07 1 3 200 81 81 81
si4-b09-m200.03 1 3 200 81 81 81
si4-m4Dr4-m256.05 1 6 256 103 103 103
si4-m4Dr4-m256.09 1 6 256 103 103 103
si4-m4Dr4-m256.01 1 6 256 103 103 103
si4-m4Dr4-m256.03 1 6 256 104 104 104
si4-m4Dr4-m256.06 1 6 256 103 103 104
si4-m4Dr4-m256.07 1 6 256 103 103 103
si4-m4Dr4-m256.00 1 6 256 103 103 109
si4-m4Dr4-m256.02 1 6 256 103 103 103
si4-m4Dr4-m256.08 1 6 256 103 103 103
si4-m4Dr4-m256.04 1 6 256 106 105 106
si2-m4D-m625.01 1 5 625 995 976 1462
si2-m4D-m625.00 1 5 625 130 134 136
si2-m4D-m625.08 1 5 625 134 142 130
si2-m4D-m625.04 1 5 625 164 159 215
si2-m4D-m625.09 1 5 625 15016 15560 15671
si2-m4D-m625.02 1 5 625 126 126 128
si2-m4D-m625.05 1 5 625 6284 6010 8204
si2-m4D-m625.06 1 5 625 5058 5485 4968
si2-m4D-m625.07 1 5 625 426 412 582
si2-m4D-m625.03 1 5 625 314 312 712
si4-b09-m800.03 1 3 800 321 321 321
si4-b09-m800.02 1 3 800 321 321 321
si4-b09-m800.09 1 3 800 321 321 321
si4-b09-m800.06 1 3 800 321 321 321
si4-b09-m800.04 1 3 800 321 321 321
si4-b09-m800.05 1 3 800 321 321 321
si4-b09-m800.00 1 3 800 321 321 321
si4-b09-m800.01 1 3 800 321 321 321
si4-b09-m800.07 1 3 800 321 321 321
si4-b09-m800.08 1 3 800 321 321 321
si2-m4Dr4-m256.05 1 6 256 52 52 53
si2-m4Dr4-m256.02 1 6 256 52 52 52
si2-m4Dr4-m256.00 1 6 256 56 56 57
si2-m4Dr4-m256.07 1 6 256 54 54 58
si2-m4Dr4-m256.03 1 6 256 52 52 52
si2-m4Dr4-m256.06 1 6 256 52 52 52
si2-m4Dr4-m256.04 1 6 256 58 58 74
si2-m4Dr4-m256.09 1 6 256 52 52 52
si2-m4Dr4-m256.01 1 6 256 52 52 52
si2-m4Dr4-m256.08 1 6 256 116 103 229
si6-m4Dr2-m256.04 1 6 256 154 154 154
si6-m4Dr2-m256.08 1 6 256 154 154 154
si6-m4Dr2-m256.00 1 6 256 154 154 154
si6-m4Dr2-m256.07 1 6 256 154 154 154
si6-m4Dr2-m256.01 1 6 256 154 154 154
si6-m4Dr2-m256.09 1 6 256 154 154 154
si6-m4Dr2-m256.03 1 6 256 154 154 154
si6-m4Dr2-m256.05 1 6 256 154 154 154
si6-m4Dr2-m256.02 1 6 256 154 154 154
si6-m4Dr2-m256.06 1 6 256 154 154 154
si6-b06-m800.00 1 3 800 481 481 481
si6-b06-m800.05 1 3 800 481 481 481
si6-b06-m800.02 1 3 800 481 481 481
si6-b06-m800.07 1 3 800 481 481 481
si6-b06-m800.08 1 3 800 481 481 481
si6-b06-m800.09 1 3 800 481 481 481
si6-b06-m800.06 1 3 800 481 481 481
si6-b06-m800.01 1 3 800 481 481 481
si6-b06-m800.04 1 3 800 481 481 481
si6-b06-m800.03 1 3 800 481 481 481
si4-b09m-m800.06 1 4 800 321 321 321
si4-b09m-m800.01 1 4 800 321 321 322
si4-b09m-m800.02 1 4 800 321 321 321
si4-b09m-m800.08 1 4 800 321 321 321
si4-b09m-m800.04 1 4 800 321 321 321
si4-b09m-m800.03 1 4 800 321 321 322
si4-b09m-m800.09 1 4 800 321 321 321
si4-b09m-m800.05 1 4 800 321 321 321
si4-b09m-m800.00 1 4 800 321 321 321
si4-b09m-m800.07 1 4 800 321 321 330
si2-b06-m800.04 1 3 800 161 161 161
si2-b06-m800.07 1 3 800 161 161 161
si2-b06-m800.02 1 3 800 161 161 161
si2-b06-m800.00 1 3 800 161 161 161
si2-b06-m800.03 1 3 800 161 161 161
si2-b06-m800.05 1 3 800 161 161 161
si2-b06-m800.09 1 3 800 161 161 161
si2-b06-m800.01 1 3 800 161 161 161
si2-b06-m800.08 1 3 800 161 161 161
si2-b06-m800.06 1 3 800 161 161 161
si6-m4D-m256.03 1 5 256 154 154 154
si6-m4D-m256.08 1 5 256 154 154 154
si6-m4D-m256.07 1 5 256 154 154 154
si6-m4D-m256.00 1 5 256 154 154 154
si6-m4D-m256.01 1 5 256 154 154 154
si6-m4D-m256.05 1 5 256 154 154 154
si6-m4D-m256.09 1 5 256 227 213 278
si6-m4D-m256.04 1 5 256 154 154 154
si6-m4D-m256.02 1 5 256 154 154 154
si6-m4D-m256.06 1 5 256 154 154 154
si2-b06m-m800.07 1 4 800 161 161 161
si2-b06m-m800.02 1 4 800 161 161 161
si2-b06m-m800.03 1 4 800 161 161 161
si2-b06m-m800.01 1 4 800 161 161 161
si2-b06m-m800.08 1 4 800 161 161 161
si2-b06m-m800.04 1 4 800 161 161 161
si2-b06m-m800.06 1 4 800 161 161 161
si2-b06m-m800.09 1 4 800 161 161 161
si2-b06m-m800.05 1 4 800 161 161 161
si2-b06m-m800.00 1 4 800 161 161 161
si4-b06m-m200.00 1 4 200 81 81 81
si4-b06m-m200.08 1 4 200 81 81 81
si4-b06m-m200.05 1 4 200 81 81 81
si4-b06m-m200.09 1 4 200 81 81 81
si4-b06m-m200.01 1 4 200 81 81 81
si4-b06m-m200.07 1 4 200 81 81 81
si4-b06m-m200.02 1 4 200 81 81 81
si4-b06m-m200.04 1 4 200 81 81 81
si4-b06m-m200.06 1 4 200 81 81 81
si4-b06m-m200.03 1 4 200 81 81 81
si6-r001-m400.09 1 7 400 243 243 247
si6-r001-m400.05 1 7 400 241 241 242
si6-r001-m400.00 1 7 400 243 243 243
si6-r001-m400.04 1 7 400 243 243 246
si6-r001-m400.07 1 7 400 241 241 241
si6-r001-m400.06 1 7 400 248 245 254
si6-r001-m400.02 1 7 400 242 242 242
si6-r001-m400.03 1 7 400 241 241 247
si6-r001-m400.08 1 7 400 338 334 363
si6-r001-m400.01 1 7 400 247 245 253
si6-m4D-m625.00 1 5 625 376 376 376
si6-m4D-m625.07 1 5 625 1378 1325 4706
si6-m4D-m625.05 1 5 625 419 417 740
si6-m4D-m625.08 1 5 625 376 376 376
si6-m4D-m625.02 1 5 625 376 376 376
si6-m4D-m625.03 1 5 625 48199 46402 90765
si6-m4D-m625.04 1 5 625 376 376 376
si6-m4D-m625.09 1 5 625 775 791 900
si6-m4D-m625.01 1 5 625 376 376 376
si6-m4D-m625.06 1 5 625 430 415 546
si6-b09m-m800.02 1 4 800 481 481 481
si6-b09m-m800.09 1 4 800 481 481 481
si6-b09m-m800.04 1 4 800 481 481 481
si6-b09m-m800.07 1 4 800 481 481 481
si6-b09m-m800.00 1 4 800 481 481 481
si6-b09m-m800.05 1 4 800 481 481 481
si6-b09m-m800.03 1 4 800 481 481 481
si6-b09m-m800.01 1 4 800 481 481 481
si6-b09m-m800.06 1 4 800 481 481 482
si6-b09m-m800.08 1 4 800 481 481 481
si4-m4Dr6-m1296.01 1 6 1296 519 519 519
si4-m4Dr6-m1296.07 1 6 1296 519 519 519
si4-m4Dr6-m1296.06 1 6 1296 519 519 519
si4-m4Dr6-m1296.02 1 6 1296 519 519 519
si4-m4Dr6-m1296.08 1 6 1296 519 519 519
si4-m4Dr6-m1296.03 1 6 1296 519 519 519
si4-m4Dr6-m1296.00 1 6 1296 522 522 523
si4-m4Dr6-m1296.09 1 6 1296 519 519 519
si4-m4Dr6-m1296.05 1 6 1296 519 519 519
si4-m4Dr6-m1296.04 1 6 1296 519 519 519
si2-b06-m400.09 1 3 400 81 81 81
si2-b06-m400.02 1 3 400 81 81 81
si2-b06-m400.00 1 3 400 81 81 81
si2-b06-m400.03 1 3 400 81 81 81
si2-b06-m400.07 1 3 400 81 81 81
si2-b06-m400.04 1 3 400 81 81 81
si2-b06-m400.05 1 3 400 81 81 81
si2-b06-m400.01 1 3 400 81 81 81
si2-b06-m400.08 1 3 400 81 81 81
si2-b06-m400.06 1 3 400 81 81 81
si4-r01-m200.01 1 7 200 24295 22825 41387
si4-r01-m200.08 1 7 200 972770 926648 1193330
si4-r01-m200.03 1 7 200 73354 70271 111423
si4-r01-m200.04 1 7 200 54337 52301 115605
si4-r01-m200.07 1 7 200 73283 64046 126423
si4-r01-m200.02 1 7 200 151193 147078 271826
si4-r01-m200.05 1 7 200 41550 40766 60637
si4-r01-m200.06 1 7 200 22703 21593 90836
si4-r01-m200.00 1 7 200 242339 233517 443104
si4-r01-m200.09 1 7 200 70011 67648 121892
si2-r001-m400.06 1 7 400 5162 5933 5691
si2-r001-m400.08 1 7 400 203 201 222
si2-r001-m400.09 1 7 400 1268983 1324033 1509658
si2-r001-m400.01 1 7 400 387 383 487
si2-r001-m400.03 1 7 400 1379 1334 1695
si2-r001-m400.04 1 7 400 945370 944990 996910
si2-r001-m400.05 1 7 400 7804 7772 9454
si2-r001-m400.02 1 7 400 430 427 473
si2-r001-m400.00 1 7 400 869 861 941
si2-r001-m400.07 1 7 400 1804 1762 2089
si4-b03m-m800.03 1 4 800 321 321 321
si4-b03m-m800.05 1 4 800 321 321 321
si4-b03m-m800.06 1 4 800 321 321 321
si4-b03m-m800.01 1 4 800 321 321 321
si4-b03m-m800.08 1 4 800 321 321 321
si4-b03m-m800.09 1 4 800 321 321 321
si4-b03m-m800.00 1 4 800 321 321 321
si4-b03m-m800.02 1 4 800 321 321 321
si4-b03m-m800.07 1 4 800 321 321 321
si4-b03m-m800.04 1 4 800 321 321 321
si2-r01-m200.03 1 7 200 38221779 38117627 41516333
si2-r01-m200.00 1 7 200 394046 393939 437198
si2-r01-m200.05 1 7 200 154038 153512 214749
si2-r01-m200.01 1 7 200 1172938 1169984 1385908
si2-r01-m200.08 1 7 200 169 167 221
si2-r01-m200.06 1 7 200 6325052 6280730 7814152
si2-r01-m200.09 1 7 200 4966231 4959408 5504970
si2-r01-m200.02 1 7 200 326872 325060 361735
si2-r01-m200.07 1 7 200 797190 794970 883488
si2-r01-m200.04 1 7 200 72758 72607 80339
si2-r01-m400.04 1 7 400 1386010 1377553 1885531
si2-r01-m400.00 1 7 400 3893542 3859845 4582982
si2-r01-m400.07 1 7 400 55199521 55033535 60052118
si2-r01-m400.09 1 7 400 9255453 9224063 10564142
si2-r01-m400.01 1 7 400 4480850 4463924 4815153
si2-r01-m400.03 1 7 400 134700 134291 201731
si2-r01-m400.02 1 7 400 5471091 5434824 6160976
si2-r01-m400.05 1 7 400 13662016 13622748 15500019
si2-r01-m400.06 1 7 400 4016886 3967811 4623453
si2-r01-m400.08 1 7 400 1143198 1137404 1396501
si4-m4D-m625.09 1 5 625 251 251 251
si4-m4D-m625.03 1 5 625 251 251 251
si4-m4D-m625.07 1 5 625 680 619 688
si4-m4D-m625.02 1 5 625 7727 8786 8906
si4-m4D-m625.00 1 5 625 251 251 251
si4-m4D-m625.01 1 5 625 2699 2464 9311
si4-m4D-m625.04 1 5 625 251 251 251
si4-m4D-m625.06 1 5 625 251 251 251
si4-m4D-m625.08 1 5 625 225 216 508
si4-m4D-m625.05 1 5 625 251 251 251
si6-m4Dr6-m256.05 1 6 256 154 154 154
si6-m4Dr6-m256.04 1 6 256 154 154 154
si6-m4Dr6-m256.03 1 6 256 154 154 154
si6-m4Dr6-m256.02 1 6 256 154 154 154
si6-m4Dr6-m256.08 1 6 256 154 154 154
si6-m4Dr6-m256.00 1 6 256 154 154 154
si6-m4Dr6-m256.09 1 6 256 154 154 154
si6-m4Dr6-m256.07 1 6 256 154 154 154
si6-m4Dr6-m256.06 1 6 256 154 154 154
si6-m4Dr6-m256.01 1 6 256 154 154 154
si6-b09-m400.07 1 3 400 241 241 241
si6-b09-m400.03 1 3 400 241 241 241
si6-b09-m400.04 1 3 400 241 241 241
si6-b09-m400.06 1 3 400 241 241 241
si6-b09-m400.05 1 3 400 241 241 241
si6-b09-m400.09 1 3 400 241 241 241
si6-b09-m400.02 1 3 400 241 241 241
si6-b09-m400.01 1 3 400 241 241 241
si6-b09-m400.08 1 3 400 241 241 241
si6-b09-m400.00 1 3 400 241 241 241
si6-b06-m400.03 1 3 400 241 241 241
si6-b06-m400.08 1 3 400 241 241 241
si6-b06-m400.07 1 3 400 241 241 241
si6-b06-m400.04 1 3 400 241 241 241
si6-b06-m400.05 1 3 400 241 241 241
si6-b06-m400.06 1 3 400 241 241 241
si6-b06-m400.02 1 3 400 241 241 241
