instance sat family size gpgnode/vbbjdpd flint/vbbjdpdfad gpgnode/vbbjdpdnocad
si6-r001-m600.04 1 7 600 362 362 366
si6-r001-m600.05 1 7 600 366 363 367
si2-m4Dr2-m1296.05 1 6 1296 260 260 260
si2-m4Dr2-m1296.09 1 6 1296 263 262 264
si2-m4Dr2-m1296.02 1 6 1296 274 273 285
si2-m4Dr2-m1296.07 1 6 1296 260 260 260
si2-m4Dr2-m1296.00 1 6 1296 260 260 260
si2-m4Dr2-m1296.06 1 6 1296 260 260 261
si2-m4Dr2-m1296.08 1 6 1296 260 260 260
si2-m4Dr2-m1296.01 1 6 1296 301 302 310
si2-m4Dr2-m1296.03 1 6 1296 260 260 260
si2-m4Dr2-m1296.04 1 6 1296 260 260 260
si4-b06m-m800.08 1 4 800 321 321 321
si4-b06m-m800.00 1 4 800 321 321 321
si4-b06m-m800.06 1 4 800 321 321 322
si4-b06m-m800.05 1 4 800 321 321 321
si4-b06m-m800.04 1 4 800 321 321 321
si4-b06m-m800.09 1 4 800 321 321 321
si4-b06m-m800.01 1 4 800 321 321 321
si4-b06m-m800.07 1 4 800 321 321 321
si4-b06m-m800.03 1 4 800 321 321 321
si4-b06m-m800.02 1 4 800 321 321 321
si6-m4Dr2-m625.08 1 6 625 376 376 376
si6-m4Dr2-m625.09 1 6 625 376 376 376
si6-m4Dr2-m625.05 1 6 625 376 376 376
si6-m4Dr2-m625.01 1 6 625 376 376 376
si6-m4Dr2-m625.06 1 6 625 376 376 376
si6-m4Dr2-m625.00 1 6 625 376 376 376
si6-m4Dr2-m625.03 1 6 625 376 376 376
si6-m4Dr2-m625.02 1 6 625 376 376 376
si6-m4Dr2-m625.07 1 6 625 376 376 376
si6-m4Dr2-m625.04 1 6 625 376 376 376
si2-m4D-m1296.01 1 5 1296 389 401 474
si2-m4D-m1296.08 1 5 1296 260 260 265
si2-m4D-m1296.06 1 5 1296 5348 5325 8247
si2-m4D-m1296.05 1 5 1296 260 260 260
si2-m4D-m1296.09 1 5 1296 288 270 408
si2-m4D-m1296.03 1 5 1296 231 231 231
si2-m4D-m1296.07 1 5 1296 260 260 308
si2-m4D-m1296.02 1 5 1296 260 260 271
si2-m4D-m1296.04 1 5 1296 260 260 286
si2-m4D-m1296.00 1 5 1296 260 260 260
si4-b03-m800.05 1 3 800 321 321 321
si4-b03-m800.00 1 3 800 321 321 321
si4-b03-m800.08 1 3 800 321 321 321
si4-b03-m800.09 1 3 800 321 321 321
si4-b03-m800.03 1 3 800 321 321 321
si4-b03-m800.02 1 3 800 321 321 321
si4-b03-m800.04 1 3 800 321 321 321
si4-b03-m800.01 1 3 800 321 321 321
si4-b03-m800.06 1 3 800 321 321 321
si4-b03-m800.07 1 3 800 321 321 321
si6-m4D-m1296.02 1 5 1296 710 710 710
si6-m4D-m1296.07 1 5 1296 810 788 1000
si6-m4D-m1296.05 1 5 1296 720 720 720
si6-m4D-m1296.09 1 5 1296 1078 1036 1238
si6-m4D-m1296.00 1 5 1296 115135747 103355792 204817057
si6-m4D-m1296.08 1 5 1296 707 707 707
si6-m4D-m1296.04 1 5 1296 689 689 689
si6-m4D-m1296.06 1 5 1296 7106 4597 11892
si6-m4D-m1296.01 1 5 1296 3408 2776 6442
si6-m4D-m1296.03 1 5 1296 33066 10104 53620
si6-r001-m200.05 1 7 200 121 121 121
si6-r001-m200.09 1 7 200 124 123 125
si6-r001-m200.07 1 7 200 121 121 121
si6-r001-m200.02 1 7 200 123 123 125
si6-r001-m200.01 1 7 200 121 121 121
si6-r001-m200.00 1 7 200 121 121 121
si6-r001-m200.04 1 7 200 123 122 126
si6-r001-m200.06 1 7 200 121 121 121
si6-r001-m200.08 1 7 200 121 121 121
si6-r001-m200.03 1 7 200 121 121 121
si4-b06-m400.06 1 3 400 161 161 161
si4-b06-m400.07 1 3 400 161 161 161
si4-b06-m400.09 1 3 400 161 161 161
si4-b06-m400.01 1 3 400 161 161 161
si4-b06-m400.04 1 3 400 161 161 161
si4-b06-m400.03 1 3 400 161 161 161
si4-b06-m400.00 1 3 400 161 161 161
si4-b06-m400.05 1 3 400 161 161 161
si4-b06-m400.08 1 3 400 161 161 161
si4-b06-m400.02 1 3 400 161 161 161
si2-m4Dr6-m256.06 1 6 256 62 62 72
si2-m4Dr6-m256.05 1 6 256 52 52 52
si2-m4Dr6-m256.09 1 6 256 53 53 53
si2-m4Dr6-m256.00 1 6 256 72 70 90
si2-m4Dr6-m256.07 1 6 256 52 52 52
si2-m4Dr6-m256.04 1 6 256 52 52 52
si2-m4Dr6-m256.02 1 6 256 62 62 85
si2-m4Dr6-m256.01 1 6 256 52 52 52
si2-m4Dr6-m256.08 1 6 256 130 114 195
si2-m4Dr6-m256.03 1 6 256 52 52 53
si6-r01-m200.04 1 7 200 939 884 45137
si6-r01-m200.08 1 7 200 317 301 5888
si6-r01-m200.02 1 7 200 1050 843 14778
si6-r01-m200.09 1 7 200 21718 19379 168352
si6-r01-m200.07 1 7 200 627 581 12066
si6-r01-m200.00 1 7 200 6107 4225 77683
si6-r01-m200.01 1 7 200 28146 23674 116341
si6-r01-m200.03 1 7 200 2510 1795 27538
si6-r01-m200.05 1 7 200 42222 37409 100194
si6-r01-m200.06 1 7 200 9286 6593 37159
si2-b03m-m800.03 1 4 800 161 161 161
si2-b03m-m800.02 1 4 800 161 161 161
si2-b03m-m800.09 1 4 800 161 161 161
si2-b03m-m800.04 1 4 800 161 161 161
si2-b03m-m800.06 1 4 800 161 161 161
si2-b03m-m800.05 1 4 800 161 161 161
si2-b03m-m800.01 1 4 800 161 161 161
si2-b03m-m800.08 1 4 800 161 161 161
si2-b03m-m800.07 1 4 800 161 161 161
si2-b03m-m800.00 1 4 800 161 161 161
si2-r001-m200.06 1 7 200 41 41 41
si2-r001-m200.01 1 7 200 52 50 55
si2-r001-m200.02 1 7 200 342 340 572
si2-r001-m200.07 1 7 200 42 42 42
si2-r001-m200.04 1 7 200 56 57 67
si2-r001-m200.05 1 7 200 43 43 46
si2-r001-m200.09 1 7 200 42 42 42
si2-r001-m200.03 1 7 200 48 48 48
si2-r001-m200.00 1 7 200 43 43 44
si2-r001-m200.08 1 7 200 41 41 42
si6-b03m-m800.01 1 4 800 481 481 481
si6-b03m-m800.08 1 4 800 481 481 481
si6-b03m-m800.03 1 4 800 481 481 481
si6-b03m-m800.00 1 4 800 481 481 481
si6-b03m-m800.04 1 4 800 481 481 481
si6-b03m-m800.05 1 4 800 481 481 481
si6-b03m-m800.07 1 4 800 481 481 481
si6-b03m-m800.06 1 4 800 481 481 481
si6-b03m-m800.09 1 4 800 481 481 481
si6-b03m-m800.02 1 4 800 481 481 481
si4-r005-m200.00 1 7 200 1147 1109 1398
si4-r005-m200.08 1 7 200 803 791 1393
si4-r005-m200.02 1 7 200 2279 2261 4855
si4-r005-m200.05 1 7 200 180 173 378
si4-r005-m200.06 1 7 200 370 352 2662
si4-r005-m200.04 1 7 200 2317 2232 2870
si4-r005-m200.07 1 7 200 3767 3713 5273
si4-r005-m200.09 1 7 200 2563 2509 3476
si4-r005-m200.01 1 7 200 128 128 136
si4-r005-m200.03 1 7 200 442 434 584
si6-b09m-m400.03 1 4 400 241 241 241
si6-b09m-m400.07 1 4 400 241 241 241
si6-b09m-m400.00 1 4 400 241 241 241
si6-b09m-m400.04 1 4 400 241 241 241
si6-b09m-m400.06 1 4 400 241 241 241
si6-b09m-m400.08 1 4 400 241 241 241
si6-b09m-m400.02 1 4 400 241 241 241
si6-b09m-m400.05 1 4 400 241 241 241
si6-b09m-m400.09 1 4 400 241 241 241
si6-b09m-m400.01 1 4 400 241 241 241
si2-b09-m200.08 1 3 200 41 41 41
si2-b09-m200.01 1 3 200 41 41 41
si2-b09-m200.06 1 3 200 41 41 41
si2-b09-m200.05 1 3 200 41 41 41
si2-b09-m200.00 1 3 200 41 41 41
si2-b09-m200.02 1 3 200 41 41 41
si2-b09-m200.03 1 3 200 41 41 41
si2-b09-m200.04 1 3 200 41 41 41
si2-b09-m200.09 1 3 200 41 41 41
si2-b09-m200.07 1 3 200 41 41 41
si6-r01-m600.02 1 7 600 130977 112617 1741922
si6-r01-m600.06 1 7 600 214231 170646 1615842
si6-r01-m600.09 1 7 600 33303 28991 1270466
si6-r01-m600.08 1 7 600 899841 492076 6227643
si6-r01-m600.05 1 7 600 122075 69105 1038187
si6-r01-m600.07 1 7 600 994069 480739 4940873
si6-r01-m600.03 1 7 600 246316 201013 4475437
si6-r01-m600.00 1 7 600 49055 40334 4655911
si6-r01-m600.01 1 7 600 3250892 2326608 9519626
si6-r01-m600.04 1 7 600 2114165 1561121 8954955
si2-b06-m200.02 1 3 200 41 41 41
si2-b06-m200.00 1 3 200 41 41 41
si2-b06-m200.01 1 3 200 41 41 41
si2-b06-m200.06 1 3 200 41 41 41
si2-b06-m200.09 1 3 200 41 41 41
si2-b06-m200.07 1 3 200 41 41 41
si2-b06-m200.04 1 3 200 41 41 41
si2-b06-m200.08 1 3 200 41 41 41
si2-b06-m200.03 1 3 200 41 41 41
si2-b06-m200.05 1 3 200 41 41 41
si6-m4Dr2-m1296.05 1 6 1296 778 778 778
si6-m4Dr2-m1296.09 1 6 1296 778 778 778
si6-m4Dr2-m1296.01 1 6 1296 778 778 778
si6-m4Dr2-m1296.06 1 6 1296 778 778 778
si6-m4Dr2-m1296.07 1 6 1296 778 778 778
si6-m4Dr2-m1296.03 1 6 1296 778 778 778
si6-m4Dr2-m1296.04 1 6 1296 778 778 778
si6-m4Dr2-m1296.00 1 6 1296 778 778 778
si6-m4Dr2-m1296.08 1 6 1296 778 778 778
si6-m4Dr2-m1296.02 1 6 1296 778 778 778
si2-b09m-m800.09 1 4 800 161 161 164
si2-b09m-m800.07 1 4 800 161 161 164
si2-b09m-m800.00 1 4 800 161 161 164
si2-b09m-m800.04 1 4 800 161 161 163
si2-b09m-m800.02 1 4 800 161 161 163
si2-b09m-m800.05 1 4 800 161 161 168
si2-b09m-m800.03 1 4 800 161 161 161
si2-b09m-m800.08 1 4 800 161 161 161
si2-b09m-m800.06 1 4 800 161 161 161
si2-b09m-m800.01 1 4 800 161 161 163
si4-b03-m400.01 1 3 400 161 161 161
si4-b03-m400.02 1 3 400 161 161 161
si4-b03-m400.05 1 3 400 161 161 161
si4-b03-m400.07 1 3 400 161 161 161
si4-b03-m400.06 1 3 400 161 161 161
si4-b03-m400.00 1 3 400 161 161 161
si4-b03-m400.03 1 3 400 161 161 161
si4-b03-m400.04 1 3 400 161 161 161
si4-b03-m400.09 1 3 400 161 161 161
si4-b03-m400.08 1 3 400 161 161 161
si2-b03-m200.05 1 3 200 41 41 41
si2-b03-m200.09 1 3 200 41 41 41
si2-b03-m200.07 1 3 200 41 41 41
si2-b03-m200.01 1 3 200 41 41 41
si2-b03-m200.08 1 3 200 41 41 41
si2-b03-m200.02 1 3 200 41 41 41
si2-b03-m200.04 1 3 200 41 41 41
si2-b03-m200.03 1 3 200 41 41 41
si2-b03-m200.06 1 3 200 41 41 41
si2-b03-m200.00 1 3 200 41 41 41
si4-r005-m600.00 1 7 600 178500 146538 686616
si4-r005-m600.02 1 7 600 41262 40364 58415
si4-r005-m600.08 1 7 600 268218 251536 406035
si4-r005-m600.05 1 7 600 237096 224670 320254
si4-r005-m600.07 1 7 600 47746 43749 102927
si4-r005-m600.06 1 7 600 468059 381467 786012
si4-r005-m600.01 1 7 600 202918 182589 835725
si4-r005-m600.04 1 7 600 178242 150698 348385
si4-r005-m600.03 1 7 600 68906 52385 735197
si4-r005-m600.09 1 7 600 14258 12507 33476
si4-b09-m400.05 1 3 400 161 161 161
si4-b09-m400.03 1 3 400 161 161 161
si4-b09-m400.00 1 3 400 161 161 161
si4-b09-m400.07 1 3 400 161 161 161
si4-b09-m400.01 1 3 400 161 161 161
si4-b09-m400.06 1 3 400 161 161 161
si4-b09-m400.04 1 3 400 161 161 161
si4-b09-m400.02 1 3 400 161 161 161
si4-b09-m400.08 1 3 400 161 161 161
si4-b09-m400.09 1 3 400 161 161 161
si4-b06m-m400.06 1 4 400 161 161 161
si4-b06m-m400.03 1 4 400 161 161 161
si4-b06m-m400.01 1 4 400 161 161 161
si4-b06m-m400.08 1 4 400 161 161 161
si4-b06m-m400.05 1 4 400 161 161 161
si4-b06m-m400.07 1 4 400 161 161 161
si4-b06m-m400.00 1 4 400 161 161 161
si4-b06m-m400.04 1 4 400 161 161 161
si4-b06m-m400.09 1 4 400 161 161 161
si4-b06m-m400.02 1 4 400 161 161 161
si2-m4Dr2-m625.05 1 6 625 126 126 127
si2-m4Dr2-m625.00 1 6 625 263 250 275
si2-m4Dr2-m625.08 1 6 625 126 126 126
si2-m4Dr2-m625.09 1 6 625 126 126 126
si2-m4Dr2-m625.06 1 6 625 128 127 128
si2-m4Dr2-m625.04 1 6 625 126 126 128
si2-m4Dr2-m625.01 1 6 625 126 126 126
si2-m4Dr2-m625.03 1 6 625 126 126 126
si2-m4Dr2-m625.02 1 6 625 137 137 971
si2-m4Dr2-m625.07 1 6 625 126 126 126
si2-r005-m200.02 1 7 200 859 858 1724
si2-r005-m200.01 1 7 200 77539 77476 81562
si2-r005-m200.03 1 7 200 11450 11457 12133
si2-r005-m200.05 1 7 200 3626199 3611807 3965154
si2-r005-m200.08 1 7 200 491112 489888 528748
si2-r005-m200.04 1 7 200 2417392 2416190 2513700
si2-r005-m200.09 1 7 200 14662 14637 15917
si2-r005-m200.06 1 7 200 30835 30814 33387
si2-r005-m200.00 1 7 200 199088 198610 237355
si2-r005-m200.07 1 7 200 8524 8490 10367
si4-b03m-m400.03 1 4 400 161 161 161
si4-b03m-m400.09 1 4 400 161 161 161
si4-b03m-m400.08 1 4 400 161 161 161
si4-b03m-m400.04 1 4 400 161 161 161
si4-b03m-m400.00 1 4 400 161 161 161
si4-b03m-m400.01 1 4 400 161 161 161
si4-b03m-m400.07 1 4 400 161 161 161
si4-b03m-m400.02 1 4 400 161 161 161
si4-b03m-m400.06 1 4 400 161 161 161
si4-b03m-m400.05 1 4 400 161 161 161
si2-r01-m600.01 1 7 600 8665989 8388310 11302458
si2-r01-m600.06 1 7 600 5431515 5400467 6393022
si2-r01-m600.09 1 7 600 18473903 17959348 25324244
si2-r01-m600.08 1 7 600 35388046 34834572 41183839
si2-r01-m600.04 1 7 600 41329211 40545189 50965787
si2-r01-m600.02 1 7 600 120082292 118190896 138016066
si2-r01-m600.00 1 7 600 732564178 1000000000 909075157
si2-r01-m600.07 1 7 600 12521455 12263893 14501574
si2-r01-m600.03 1 7 600 73526971 70212673 94076908
si2-r01-m600.05 1 7 600 6421280 6366060 8253657
si4-m4Dr6-m256.01 1 6 256 103 103 103
si4-m4Dr6-m256.00 1 6 256 114 114 114
si4-m4Dr6-m256.05 1 6 256 108 107 112
si4-m4Dr6-m256.08 1 6 256 105 104 106
si4-m4Dr6-m256.03 1 6 256 103 103 103
si4-m4Dr6-m256.06 1 6 256 103 103 103
si4-m4Dr6-m256.09 1 6 256 103 103 103
si4-m4Dr6-m256.07 1 6 256 105 105 109
si4-m4Dr6-m256.02 1 6 256 103 103 103
si4-m4Dr6-m256.04 1 6 256 105 105 105
si2-b03m-m400.02 1 4 400 81 81 81
si2-b03m-m400.00 1 4 400 81 81 81
si2-b03m-m400.01 1 4 400 81 81 81
si2-b03m-m400.05 1 4 400 81 81 81
si2-b03m-m400.08 1 4 400 81 81 81
si2-b03m-m400.07 1 4 400 81 81 81
si2-b03m-m400.09 1 4 400 81 81 81
si2-b03m-m400.03 1 4 400 81 81 81
si2-b03m-m400.04 1 4 400 81 81 81
si2-b03m-m400.06 1 4 400 81 81 81
si2-b03m-m200.05 1 4 200 41 41 41
si2-b03m-m200.03 1 4 200 41 41 41
si2-b03m-m200.00 1 4 200 41 41 41
si2-b03m-m200.08 1 4 200 41 41 41
si2-b03m-m200.06 1 4 200 41 41 41
si2-b03m-m200.02 1 4 200 41 41 41
si2-b03m-m200.09 1 4 200 41 41 41
si2-b03m-m200.04 1 4 200 41 41 41
