instance sat family size vbbjdpd ttvbbjdpd32j ttvbbjdpd32g
si4-b06-m200.06 1 3 200 29 12 13
si4-b06-m200.03 1 3 200 30 11 12
si4-b06-m200.02 1 3 200 27 13 13
si4-b06-m200.07 1 3 200 27 12 12
si4-b06-m200.05 1 3 200 29 11 13
si4-b06-m200.08 1 3 200 27 12 12
si4-b06-m200.00 1 3 200 27 13 11
si4-b06-m200.04 1 3 200 28 11 12
si4-b06-m200.01 1 3 200 28 11 13
si4-b06-m200.09 1 3 200 28 12 12
si4-r005-m400.06 1 7 400 3553 1018 815
si4-r005-m400.03 1 7 400 1610 313 322
si4-r005-m400.07 1 7 400 4082 2239 1276
si4-r005-m400.01 1 7 400 1466 419 324
si4-r005-m400.04 1 7 400 1731 520 451
si4-r005-m400.00 1 7 400 1770 409 792
si4-r005-m400.09 1 7 400 1972 545 601
si4-r005-m400.05 1 7 400 1501 268 304
si4-r005-m400.08 1 7 400 1202 248 220
si4-r005-m400.02 1 7 400 3904 532 501
si4-m4Dr2-m1296.07 1 6 1296 2067 177 168
si4-m4Dr2-m1296.00 1 6 1296 827 129 132
si4-m4Dr2-m1296.05 1 6 1296 899 123 126
si4-m4Dr2-m1296.04 1 6 1296 448 118 113
si4-m4Dr2-m1296.08 1 6 1296 1057 129 125
si4-m4Dr2-m1296.01 1 6 1296 1148 142 131
si4-m4Dr2-m1296.06 1 6 1296 778 131 121
si4-m4Dr2-m1296.02 1 6 1296 721 127 120
si4-m4Dr2-m1296.03 1 6 1296 604 117 111
si4-m4Dr2-m1296.09 1 6 1296 982 133 119
si6-b09-m800.03 1 3 800 1194 427 408
si6-b09-m800.09 1 3 800 1196 443 465
si6-b09-m800.07 1 3 800 1193 432 427
si6-b09-m800.05 1 3 800 1196 445 441
si6-b09-m800.04 1 3 800 1195 436 428
si6-b09-m800.01 1 3 800 1842 438 409
si6-b09-m800.00 1 3 800 1197 407 397
si6-b09-m800.02 1 3 800 1194 431 418
si6-b09-m800.06 1 3 800 1298 444 394
si6-b09-m800.08 1 3 800 1197 431 424
si6-b06m-m400.00 1 4 400 259 41 40
si6-b06m-m400.08 1 4 400 155 27 28
si6-b06m-m400.03 1 4 400 127 27 32
si6-b06m-m400.04 1 4 400 282 46 49
si6-b06m-m400.06 1 4 400 197 31 35
si6-b06m-m400.07 1 4 400 61 22 22
si6-b06m-m400.09 1 4 400 154 30 29
si6-b06m-m400.02 1 4 400 67 20 20
si6-b06m-m400.01 1 4 400 54 20 21
si6-b06m-m400.05 1 4 400 64 19 19
si2-m4Dr4-m1296.08 1 6 1296 304 77 71
si2-m4Dr4-m1296.07 1 6 1296 308 74 69
si2-m4Dr4-m1296.03 1 6 1296 319 106 69
si2-m4Dr4-m1296.05 1 6 1296 670 120 117
si2-m4Dr4-m1296.06 1 6 1296 479 83 85
si2-m4Dr4-m1296.04 1 6 1296 687 95 86
si2-m4Dr4-m1296.09 1 6 1296 272 73 67
si2-m4Dr4-m1296.01 1 6 1296 541 87 76
si2-m4Dr4-m1296.00 1 6 1296 496 84 76
si2-m4Dr4-m1296.02 1 6 1296 289 79 67
si6-m4Dr6-m1296.02 1 6 1296 1137 176 173
si6-m4Dr6-m1296.08 1 6 1296 1080 187 178
si6-m4Dr6-m1296.07 1 6 1296 1081 185 185
si6-m4Dr6-m1296.06 1 6 1296 980 192 190
si6-m4Dr6-m1296.03 1 6 1296 1138 188 177
si6-m4Dr6-m1296.04 1 6 1296 1137 186 177
si6-m4Dr6-m1296.05 1 6 1296 2170 205 200
si6-m4Dr6-m1296.00 1 6 1296 1076 180 179
si6-m4Dr6-m1296.09 1 6 1296 969 182 176
si6-m4Dr6-m1296.01 1 6 1296 1751 209 196
si4-m4Dr2-m256.00 1 6 256 38 16 15
si4-m4Dr2-m256.01 1 6 256 41 19 18
si4-m4Dr2-m256.05 1 6 256 81 22 21
si4-m4Dr2-m256.04 1 6 256 70 19 20
si4-m4Dr2-m256.08 1 6 256 57 17 17
si4-m4Dr2-m256.07 1 6 256 29 11 12
si4-m4Dr2-m256.06 1 6 256 52 14 14
si4-m4Dr2-m256.02 1 6 256 33 14 14
si4-m4Dr2-m256.09 1 6 256 117 25 25
si4-m4Dr2-m256.03 1 6 256 39 14 15
si4-b09m-m200.01 1 4 200 31 12 12
si4-b09m-m200.00 1 4 200 33 12 11
si4-b09m-m200.03 1 4 200 67 16 15
si4-b09m-m200.06 1 4 200 53 11 12
si4-b09m-m200.02 1 4 200 54 15 14
si4-b09m-m200.04 1 4 200 60 16 15
si4-b09m-m200.05 1 4 200 44 12 12
si4-b09m-m200.07 1 4 200 56 15 15
si4-b09m-m200.08 1 4 200 26 13 13
si4-b09m-m200.09 1 4 200 62 14 15
si4-m4Dr4-m625.07 1 6 625 140 39 40
si4-m4Dr4-m625.05 1 6 625 210 43 43
si4-m4Dr4-m625.01 1 6 625 219 44 40
si4-m4Dr4-m625.08 1 6 625 134 38 36
si4-m4Dr4-m625.09 1 6 625 229 47 43
si4-m4Dr4-m625.00 1 6 625 146 37 35
si4-m4Dr4-m625.04 1 6 625 224 45 46
si4-m4Dr4-m625.06 1 6 625 149 41 37
si4-m4Dr4-m625.03 1 6 625 124 39 36
si4-m4Dr4-m625.02 1 6 625 291 43 44
si4-m4Dr4-m1296.03 1 6 1296 954 128 123
si4-m4Dr4-m1296.01 1 6 1296 557 113 109
si4-m4Dr4-m1296.00 1 6 1296 959 129 124
si4-m4Dr4-m1296.07 1 6 1296 1063 130 126
si4-m4Dr4-m1296.02 1 6 1296 817 130 124
si4-m4Dr4-m1296.04 1 6 1296 547 119 107
si4-m4Dr4-m1296.09 1 6 1296 1083 129 119
si4-m4Dr4-m1296.06 1 6 1296 605 119 108
si4-m4Dr4-m1296.08 1 6 1296 1638 161 149
si4-m4Dr4-m1296.05 1 6 1296 622 112 108
si2-r005-m400.05 1 7 400 4506 1413 2339
si2-r005-m400.06 1 7 400 2423 1685 1654
si2-r005-m400.08 1 7 400 2883 1376 1349
si2-r005-m400.02 1 7 400 388342 23246 33837
si2-r005-m400.03 1 7 400 6386 745 885
si2-r005-m400.00 1 7 400 1563 813 559
si2-r005-m400.07 1 7 400 14194 942 1262
si2-r005-m400.09 1 7 400 633 205 191
si2-r005-m400.04 1 7 400 8604 4653 2701
si2-r005-m400.01 1 7 400 818 456 326
si2-b06m-m400.03 1 4 400 64 23 23
si2-b06m-m400.06 1 4 400 63 22 22
si2-b06m-m400.05 1 4 400 58 18 19
si2-b06m-m400.01 1 4 400 46 18 18
si2-b06m-m400.00 1 4 400 81 20 22
si2-b06m-m400.08 1 4 400 128 39 40
si2-b06m-m400.07 1 4 400 87 24 24
si2-b06m-m400.09 1 4 400 58 18 17
si2-b06m-m400.04 1 4 400 55 18 18
si2-b06m-m400.02 1 4 400 41 12 13
si6-r005-m600.02 1 7 600 10798 2904 2884
si6-r005-m600.08 1 7 600 11179 1774 1833
si6-r005-m600.03 1 7 600 26101 10495 10574
si6-r005-m600.05 1 7 600 20537 6374 7116
si6-r005-m600.07 1 7 600 19645 5745 5693
si6-r005-m600.04 1 7 600 22759 5903 6123
si6-r005-m600.06 1 7 600 38033 13855 13822
si6-r005-m600.01 1 7 600 10659 1275 1139
si6-r005-m600.09 1 7 600 26072 8447 10176
si6-r005-m600.00 1 7 600 10748 1725 1721
si6-r005-m200.02 1 7 200 224 32 52
si6-r005-m200.08 1 7 200 214 32 44
si6-r005-m200.09 1 7 200 207 33 40
si6-r005-m200.05 1 7 200 222 36 36
si6-r005-m200.03 1 7 200 207 29 31
si6-r005-m200.00 1 7 200 237 61 39
si6-r005-m200.04 1 7 200 215 29 28
si6-r005-m200.07 1 7 200 207 30 30
si6-r005-m200.01 1 7 200 202 31 31
si6-r005-m200.06 1 7 200 199 28 25
si2-m4Dr6-m625.06 1 6 625 68 31 30
si2-m4Dr6-m625.08 1 6 625 137 36 35
si2-m4Dr6-m625.07 1 6 625 79 30 31
si2-m4Dr6-m625.03 1 6 625 74 38 37
si2-m4Dr6-m625.04 1 6 625 71 30 28
si2-m4Dr6-m625.05 1 6 625 74 30 29
si2-m4Dr6-m625.09 1 6 625 154 34 34
si2-m4Dr6-m625.01 1 6 625 75 29 27
si2-m4Dr6-m625.02 1 6 625 80 42 36
si2-m4Dr6-m625.00 1 6 625 114 37 34
si6-b03-m800.02 1 3 800 232 425 386
si6-b03-m800.04 1 3 800 230 481 414
si6-b03-m800.03 1 3 800 226 423 390
si6-b03-m800.05 1 3 800 225 424 421
si6-b03-m800.06 1 3 800 227 423 416
si6-b03-m800.01 1 3 800 226 418 407
si6-b03-m800.00 1 3 800 327 419 399
si6-b03-m800.07 1 3 800 228 414 419
si6-b03-m800.09 1 3 800 231 417 410
si6-b03-m800.08 1 3 800 228 430 421
si4-m4D-m1296.09 1 5 1296 1055 170 155
si4-m4D-m1296.06 1 5 1296 727 149 138
si4-m4D-m1296.05 1 5 1296 760 149 138
si4-m4D-m1296.00 1 5 1296 533 355 352
si4-m4D-m1296.03 1 5 1296 556 370 376
si4-m4D-m1296.04 1 5 1296 751 147 139
si4-m4D-m1296.08 1 5 1296 100000000 307 300
si4-m4D-m1296.02 1 5 1296 723 365 320
si4-m4D-m1296.01 1 5 1296 758 147 143
si4-m4D-m1296.07 1 5 1296 738 147 151
si6-b03m-m400.03 1 4 400 70 22 24
si6-b03m-m400.01 1 4 400 84 27 28
si6-b03m-m400.09 1 4 400 77 26 28
si6-b03m-m400.08 1 4 400 106 27 28
si6-b03m-m400.07 1 4 400 58 23 26
si6-b03m-m400.02 1 4 400 39 21 21
si6-b03m-m400.05 1 4 400 37 20 22
si6-b03m-m400.00 1 4 400 41 21 21
si6-b03m-m400.06 1 4 400 140 36 37
si6-b03m-m400.04 1 4 400 90 24 24
si4-m4D-m256.07 1 5 256 34 15 14
si4-m4D-m256.06 1 5 256 35 15 17
si4-m4D-m256.05 1 5 256 60 21 20
si4-m4D-m256.08 1 5 256 39 25 22
si4-m4D-m256.04 1 5 256 42 21 22
si4-m4D-m256.09 1 5 256 64 23 26
si4-m4D-m256.02 1 5 256 41 15 17
si4-m4D-m256.00 1 5 256 41 23 25
si4-m4D-m256.03 1 5 256 39 17 18
si4-m4D-m256.01 1 5 256 49 22 23
si6-b06m-m800.07 1 4 800 524 76 73
si6-b06m-m800.04 1 4 800 695 91 92
si6-b06m-m800.01 1 4 800 689 92 92
si6-b06m-m800.00 1 4 800 524 83 85
si6-b06m-m800.05 1 4 800 854 103 102
si6-b06m-m800.08 1 4 800 745 100 99
si6-b06m-m800.09 1 4 800 917 110 109
si6-b06m-m800.02 1 4 800 370 77 76
si6-b06m-m800.03 1 4 800 1070 108 106
si6-b06m-m800.06 1 4 800 595 80 75
si4-r001-m400.08 1 7 400 103 25 29
si4-r001-m400.06 1 7 400 103 22 20
si4-r001-m400.02 1 7 400 101 21 21
si4-r001-m400.00 1 7 400 121 34 31
si4-r001-m400.04 1 7 400 96 22 27
si4-r001-m400.03 1 7 400 106 23 21
si4-r001-m400.09 1 7 400 103 20 21
si4-r001-m400.05 1 7 400 178 50 51
si4-r001-m400.01 1 7 400 91 20 21
si4-r001-m400.07 1 7 400 107 21 22
si2-m4Dr6-m1296.00 1 6 1296 304 75 70
si2-m4Dr6-m1296.01 1 6 1296 531 81 77
si2-m4Dr6-m1296.09 1 6 1296 644 86 83
si2-m4Dr6-m1296.06 1 6 1296 327 85 66
si2-m4Dr6-m1296.03 1 6 1296 487 86 79
si2-m4Dr6-m1296.02 1 6 1296 303 74 65
si2-m4Dr6-m1296.05 1 6 1296 526 86 79
si2-m4Dr6-m1296.08 1 6 1296 793 93 90
si2-m4Dr6-m1296.04 1 6 1296 317 74 69
si2-m4Dr6-m1296.07 1 6 1296 292 75 74
si2-b03-m800.07 1 3 800 81 152 130
si2-b03-m800.08 1 3 800 81 150 167
si2-b03-m800.04 1 3 800 111 170 160
si2-b03-m800.05 1 3 800 81 166 164
si2-b03-m800.09 1 3 800 82 168 149
si2-b03-m800.00 1 3 800 89 143 143
si2-b03-m800.02 1 3 800 81 149 170
si2-b03-m800.03 1 3 800 81 162 143
si2-b03-m800.01 1 3 800 82 163 168
si2-b03-m800.06 1 3 800 82 148 156
si4-b03m-m200.05 1 4 200 13 11 10
si4-b03m-m200.02 1 4 200 13 16 13
si4-b03m-m200.04 1 4 200 7 10 11
si4-b03m-m200.07 1 4 200 7 11 10
si4-b03m-m200.00 1 4 200 29 19 20
si4-b03m-m200.06 1 4 200 9 14 14
si4-b03m-m200.03 1 4 200 14 10 10
si4-b03m-m200.09 1 4 200 24 18 19
si4-b03m-m200.08 1 4 200 25 17 17
si4-b03m-m200.01 1 4 200 18 18 16
si2-b06m-m200.04 1 4 200 17 11 11
si2-b06m-m200.03 1 4 200 16 12 11
si2-b06m-m200.08 1 4 200 10 10 10
si2-b06m-m200.06 1 4 200 49 21 22
si2-b06m-m200.05 1 4 200 7 8 8
si2-b06m-m200.02 1 4 200 16 12 12
si2-b06m-m200.00 1 4 200 14 11 11
si2-b06m-m200.01 1 4 200 9 10 9
si2-b06m-m200.09 1 4 200 18 11 11
si2-b06m-m200.07 1 4 200 14 10 11
si6-m4Dr4-m625.05 1 6 625 331 57 60
si6-m4Dr4-m625.09 1 6 625 314 59 59
si6-m4Dr4-m625.04 1 6 625 310 58 57
si6-m4Dr4-m625.00 1 6 625 250 51 49
si6-m4Dr4-m625.08 1 6 625 362 58 59
si6-m4Dr4-m625.06 1 6 625 423 64 65
si6-m4Dr4-m625.01 1 6 625 399 62 59
si6-m4Dr4-m625.03 1 6 625 431 60 59
si6-m4Dr4-m625.07 1 6 625 247 50 51
si6-m4Dr4-m625.02 1 6 625 316 58 62
si4-b03-m200.06 1 3 200 10 11 12
si4-b03-m200.02 1 3 200 10 11 11
si4-b03-m200.07 1 3 200 9 12 12
si4-b03-m200.04 1 3 200 12 10 11
si4-b03-m200.03 1 3 200 13 11 11
si4-b03-m200.05 1 3 200 9 12 10
si4-b03-m200.09 1 3 200 14 11 11
si4-b03-m200.01 1 3 200 15 11 11
si4-b03-m200.00 1 3 200 15 10 12
si4-b03-m200.08 1 3 200 9 11 11
si2-b03-m400.03 1 3 400 20 24 25
si2-b03-m400.06 1 3 400 20 20 28
si2-b03-m400.07 1 3 400 20 22 25
si2-b03-m400.01 1 3 400 20 28 26
si2-b03-m400.05 1 3 400 34 20 24
si2-b03-m400.09 1 3 400 21 26 24
si2-b03-m400.02 1 3 400 21 25 22
si2-b03-m400.00 1 3 400 20 22 20
si2-b03-m400.08 1 3 400 22 22 23
si2-b03-m400.04 1 3 400 20 25 25
si4-b09-m200.02 1 3 200 50 13 12
si4-b09-m200.01 1 3 200 50 12 13
si4-b09-m200.00 1 3 200 50 13 13
si4-b09-m200.09 1 3 200 50 12 14
si4-b09-m200.08 1 3 200 60 13 13
si4-b09-m200.04 1 3 200 50 14 16
si4-b09-m200.06 1 3 200 64 15 13
si4-b09-m200.05 1 3 200 62 13 15
si4-b09-m200.07 1 3 200 50 15 13
si4-b09-m200.03 1 3 200 50 13 12
si4-m4Dr4-m256.05 1 6 256 40 14 15
si4-m4Dr4-m256.09 1 6 256 47 14 15
si4-m4Dr4-m256.01 1 6 256 21 11 11
si4-m4Dr4-m256.03 1 6 256 25 11 12
si4-m4Dr4-m256.06 1 6 256 63 14 14
si4-m4Dr4-m256.07 1 6 256 42 15 14
si4-m4Dr4-m256.00 1 6 256 28 11 12
si4-m4Dr4-m256.02 1 6 256 24 11 13
si4-m4Dr4-m256.08 1 6 256 59 15 15
si4-m4Dr4-m256.04 1 6 256 25 13 12
si2-m4D-m625.01 1 5 625 122 122 103
si2-m4D-m625.00 1 5 625 118 47 47
si2-m4D-m625.08 1 5 625 96 114 126
si2-m4D-m625.04 1 5 625 111 73 76
si2-m4D-m625.09 1 5 625 392 131 128
si2-m4D-m625.02 1 5 625 174 77 99
si2-m4D-m625.05 1 5 625 237 94 116
si2-m4D-m625.06 1 5 625 192 110 122
si2-m4D-m625.07 1 5 625 103 107 120
si2-m4D-m625.03 1 5 625 134 68 62
si4-b09-m800.03 1 3 800 796 310 301
si4-b09-m800.02 1 3 800 806 303 331
si4-b09-m800.09 1 3 800 798 305 296
si4-b09-m800.06 1 3 800 951 297 298
si4-b09-m800.04 1 3 800 796 318 302
si4-b09-m800.05 1 3 800 802 298 298
si4-b09-m800.00 1 3 800 795 319 295
si4-b09-m800.01 1 3 800 810 325 284
si4-b09-m800.07 1 3 800 796 321 298
si4-b09-m800.08 1 3 800 836 310 301
si2-m4Dr4-m256.05 1 6 256 39 15 16
si2-m4Dr4-m256.02 1 6 256 24 15 14
si2-m4Dr4-m256.00 1 6 256 22 9 11
si2-m4Dr4-m256.07 1 6 256 27 14 15
si2-m4Dr4-m256.03 1 6 256 14 10 10
si2-m4Dr4-m256.06 1 6 256 33 15 15
si2-m4Dr4-m256.04 1 6 256 14 12 13
si2-m4Dr4-m256.09 1 6 256 14 11 11
si2-m4Dr4-m256.01 1 6 256 39 15 17
si2-m4Dr4-m256.08 1 6 256 45 17 18
si6-m4Dr2-m256.04 1 6 256 73 16 18
si6-m4Dr2-m256.08 1 6 256 49 17 16
si6-m4Dr2-m256.00 1 6 256 50 16 17
si6-m4Dr2-m256.07 1 6 256 93 21 22
si6-m4Dr2-m256.01 1 6 256 56 16 15
si6-m4Dr2-m256.09 1 6 256 83 17 18
si6-m4Dr2-m256.03 1 6 256 50 16 16
si6-m4Dr2-m256.05 1 6 256 31 12 13
si6-m4Dr2-m256.02 1 6 256 33 12 13
si6-m4Dr2-m256.06 1 6 256 29 12 12
si6-b06-m800.00 1 3 800 624 430 421
si6-b06-m800.05 1 3 800 626 438 415
si6-b06-m800.02 1 3 800 624 419 402
si6-b06-m800.07 1 3 800 626 439 417
si6-b06-m800.08 1 3 800 625 433 427
si6-b06-m800.09 1 3 800 638 406 436
si6-b06-m800.06 1 3 800 625 445 407
si6-b06-m800.01 1 3 800 667 421 403
si6-b06-m800.04 1 3 800 639 429 408
si6-b06-m800.03 1 3 800 637 425 424
si4-b09m-m800.06 1 4 800 501 63 64
si4-b09m-m800.01 1 4 800 389 54 53
si4-b09m-m800.02 1 4 800 1137 81 73
si4-b09m-m800.08 1 4 800 346 63 53
si4-b09m-m800.04 1 4 800 364 52 49
si4-b09m-m800.03 1 4 800 278 52 51
si4-b09m-m800.09 1 4 800 480 54 55
si4-b09m-m800.05 1 4 800 396 61 61
si4-b09m-m800.00 1 4 800 834 66 64
si4-b09m-m800.07 1 4 800 560 63 62
si2-b06-m800.04 1 3 800 217 171 159
si2-b06-m800.07 1 3 800 218 151 166
si2-b06-m800.02 1 3 800 321 175 166
si2-b06-m800.00 1 3 800 241 153 139
si2-b06-m800.03 1 3 800 223 181 160
si2-b06-m800.05 1 3 800 293 150 171
si2-b06-m800.09 1 3 800 217 162 162
si2-b06-m800.01 1 3 800 227 158 165
si2-b06-m800.08 1 3 800 219 173 158
si2-b06-m800.06 1 3 800 217 168 152
si6-m4D-m256.03 1 5 256 77 23 18
si6-m4D-m256.08 1 5 256 64 19 18
si6-m4D-m256.07 1 5 256 55 18 20
si6-m4D-m256.00 1 5 256 52 21 19
si6-m4D-m256.01 1 5 256 88 19 20
si6-m4D-m256.05 1 5 256 58 20 18
si6-m4D-m256.09 1 5 256 35 32 29
si6-m4D-m256.04 1 5 256 66 19 20
si6-m4D-m256.02 1 5 256 56 18 18
si6-m4D-m256.06 1 5 256 56 18 20
si2-b06m-m800.07 1 4 800 248 49 45
si2-b06m-m800.02 1 4 800 194 45 40
si2-b06m-m800.03 1 4 800 205 40 36
si2-b06m-m800.01 1 4 800 119 43 38
si2-b06m-m800.08 1 4 800 240 52 50
si2-b06m-m800.04 1 4 800 203 48 46
si2-b06m-m800.06 1 4 800 192 43 41
si2-b06m-m800.09 1 4 800 267 63 58
si2-b06m-m800.05 1 4 800 150 41 43
si2-b06m-m800.00 1 4 800 191 41 40
si4-b06m-m200.00 1 4 200 28 13 12
si4-b06m-m200.08 1 4 200 22 10 10
si4-b06m-m200.05 1 4 200 14 11 9
si4-b06m-m200.09 1 4 200 18 11 9
si4-b06m-m200.01 1 4 200 24 12 12
si4-b06m-m200.07 1 4 200 25 14 12
si4-b06m-m200.02 1 4 200 76 31 29
si4-b06m-m200.04 1 4 200 29 15 13
si4-b06m-m200.06 1 4 200 14 11 10
si4-b06m-m200.03 1 4 200 28 13 13
si6-r001-m400.09 1 7 400 199 24 25
si6-r001-m400.05 1 7 400 199 24 25
si6-r001-m400.00 1 7 400 214 31 27
si6-r001-m400.04 1 7 400 199 22 25
si6-r001-m400.07 1 7 400 200 23 24
si6-r001-m400.06 1 7 400 198 25 27
si6-r001-m400.02 1 7 400 196 23 27
si6-r001-m400.03 1 7 400 203 22 24
si6-r001-m400.08 1 7 400 191 31 33
si6-r001-m400.01 1 7 400 215 27 28
si6-m4D-m625.00 1 5 625 259 56 57
si6-m4D-m625.07 1 5 625 236 192 207
si6-m4D-m625.05 1 5 625 186 197 189
si6-m4D-m625.08 1 5 625 262 56 53
si6-m4D-m625.02 1 5 625 264 56 55
si6-m4D-m625.03 1 5 625 3436 293 306
si6-m4D-m625.04 1 5 625 259 55 56
si6-m4D-m625.09 1 5 625 215 191 247
si6-m4D-m625.01 1 5 625 280 57 55
si6-m4D-m625.06 1 5 625 177 145 123
si6-b09m-m800.02 1 4 800 752 86 84
si6-b09m-m800.09 1 4 800 510 78 77
si6-b09m-m800.04 1 4 800 609 77 78
si6-b09m-m800.07 1 4 800 1449 102 97
si6-b09m-m800.00 1 4 800 437 78 75
si6-b09m-m800.05 1 4 800 901 89 87
si6-b09m-m800.03 1 4 800 589 79 77
si6-b09m-m800.01 1 4 800 636 76 84
si6-b09m-m800.06 1 4 800 959 90 88
si6-b09m-m800.08 1 4 800 921 103 88
si4-m4Dr6-m1296.01 1 6 1296 630 126 111
si4-m4Dr6-m1296.07 1 6 1296 1276 129 126
si4-m4Dr6-m1296.06 1 6 1296 640 117 112
si4-m4Dr6-m1296.02 1 6 1296 1076 131 126
si4-m4Dr6-m1296.08 1 6 1296 1050 133 128
si4-m4Dr6-m1296.03 1 6 1296 636 119 108
si4-m4Dr6-m1296.00 1 6 1296 1402 132 124
si4-m4Dr6-m1296.09 1 6 1296 664 123 106
si4-m4Dr6-m1296.05 1 6 1296 614 126 110
si4-m4Dr6-m1296.04 1 6 1296 1094 133 126
si2-b06-m400.09 1 3 400 56 25 24
si2-b06-m400.02 1 3 400 58 26 25
si2-b06-m400.00 1 3 400 88 25 28
si2-b06-m400.03 1 3 400 64 24 25
si2-b06-m400.07 1 3 400 62 28 28
si2-b06-m400.04 1 3 400 59 26 24
si2-b06-m400.05 1 3 400 59 29 25
si2-b06-m400.01 1 3 400 94 22 23
si2-b06-m400.08 1 3 400 58 24 24
si2-b06-m400.06 1 3 400 56 26 27
si4-r01-m200.01 1 7 200 536 215 139
si4-r01-m200.08 1 7 200 11681 956 1133
si4-r01-m200.03 1 7 200 1100 291 203
si4-r01-m200.04 1 7 200 991 265 205
si4-r01-m200.07 1 7 200 1086 353 303
si4-r01-m200.02 1 7 200 2070 254 240
si4-r01-m200.05 1 7 200 869 175 134
si4-r01-m200.06 1 7 200 535 156 182
si4-r01-m200.00 1 7 200 3872 551 417
si4-r01-m200.09 1 7 200 1184 228 256
si2-r001-m400.06 1 7 400 89 24 53
si2-r001-m400.08 1 7 400 56 35 33
si2-r001-m400.09 1 7 400 8681 81 30
si2-r001-m400.01 1 7 400 51 28 24
si2-r001-m400.03 1 7 400 61 50 51
si2-r001-m400.04 1 7 400 6067 24 24
si2-r001-m400.05 1 7 400 121 28 27
si2-r001-m400.02 1 7 400 47 31 33
si2-r001-m400.00 1 7 400 58 33 47
si2-r001-m400.07 1 7 400 61 28 28
si4-b03m-m800.03 1 4 800 163 57 54
si4-b03m-m800.05 1 4 800 108 51 48
si4-b03m-m800.06 1 4 800 287 73 67
si4-b03m-m800.01 1 4 800 246 71 63
si4-b03m-m800.08 1 4 800 152 55 53
si4-b03m-m800.09 1 4 800 138 57 55
si4-b03m-m800.00 1 4 800 163 56 54
si4-b03m-m800.02 1 4 800 116 52 50
si4-b03m-m800.07 1 4 800 153 57 55
si4-b03m-m800.04 1 4 800 197 53 52
si2-r01-m200.03 1 7 200 135683 6637 18460
si2-r01-m200.00 1 7 200 1728 194 153
si2-r01-m200.05 1 7 200 959 387 245
si2-r01-m200.01 1 7 200 5039 756 683
si2-r01-m200.08 1 7 200 119 94 102
si2-r01-m200.06 1 7 200 26817 2286 2954
si2-r01-m200.09 1 7 200 21016 2214 1811
si2-r01-m200.02 1 7 200 1559 422 390
si2-r01-m200.07 1 7 200 3596 642 435
si2-r01-m200.04 1 7 200 420 190 150
si2-r01-m400.04 1 7 400 22311 6593 8037
si2-r01-m400.00 1 7 400 54575 1396 1949
si2-r01-m400.07 1 7 400 713271 68399 56000
si2-r01-m400.09 1 7 400 121123 10635 8745
si2-r01-m400.01 1 7 400 57864 8492 7081
si2-r01-m400.03 1 7 400 4294 4417 2757
si2-r01-m400.02 1 7 400 73474 14236 18156
si2-r01-m400.05 1 7 400 179522 22229 21375
si2-r01-m400.06 1 7 400 55072 16480 16401
si2-r01-m400.08 1 7 400 18197 7715 8073
si4-m4D-m625.09 1 5 625 178 53 50
si4-m4D-m625.03 1 5 625 205 50 60
si4-m4D-m625.07 1 5 625 135 190 178
si4-m4D-m625.02 1 5 625 376 121 142
si4-m4D-m625.00 1 5 625 189 51 51
si4-m4D-m625.01 1 5 625 182 188 191
si4-m4D-m625.04 1 5 625 155 42 41
si4-m4D-m625.06 1 5 625 182 53 49
si4-m4D-m625.08 1 5 625 129 227 168
si4-m4D-m625.05 1 5 625 288 55 62
si6-m4Dr6-m256.05 1 6 256 40 14 13
si6-m4Dr6-m256.04 1 6 256 80 18 17
si6-m4Dr6-m256.03 1 6 256 37 13 14
si6-m4Dr6-m256.02 1 6 256 57 12 15
si6-m4Dr6-m256.08 1 6 256 40 13 13
si6-m4Dr6-m256.00 1 6 256 80 15 17
si6-m4Dr6-m256.09 1 6 256 60 17 17
si6-m4Dr6-m256.07 1 6 256 72 16 17
si6-m4Dr6-m256.06 1 6 256 57 16 18
si6-m4Dr6-m256.01 1 6 256 102 18 16
si6-b09-m400.07 1 3 400 304 133 136
si6-b09-m400.03 1 3 400 304 133 133
si6-b09-m400.04 1 3 400 305 133 134
si6-b09-m400.06 1 3 400 348 135 129
si6-b09-m400.05 1 3 400 313 135 133
si6-b09-m400.09 1 3 400 305 135 137
si6-b09-m400.02 1 3 400 305 129 134
si6-b09-m400.01 1 3 400 306 129 131
si6-b09-m400.08 1 3 400 304 133 135
si6-b09-m400.00 1 3 400 473 130 137
si6-b06-m400.03 1 3 400 161 125 130
si6-b06-m400.08 1 3 400 160 129 120
si6-b06-m400.07 1 3 400 179 125 129
si6-b06-m400.04 1 3 400 160 126 127
si6-b06-m400.05 1 3 400 172 127 126
si6-b06-m400.06 1 3 400 216 128 129
si6-b06-m400.02 1 3 400 160 127 129
si6-b06-m400.01 1 3 400 176 128 128
si6-b06-m400.00 1 3 400 160 130 131
si6-b06-m400.09 1 3 400 161 130 131
si6-b03m-m200.04 1 4 200 50 21 22
si6-b03m-m200.07 1 4 200 10 11 11
si6-b03m-m200.08 1 4 200 12 12 11
si6-b03m-m200.02 1 4 200 14 13 13
si6-b03m-m200.03 1 4 200 23 14 14
si6-b03m-m200.06 1 4 200 14 13 14
si6-b03m-m200.01 1 4 200 16 13 12
si6-b03m-m200.09 1 4 200 17 16 17
si6-b03m-m200.00 1 4 200 13 12 11
si6-b03m-m200.05 1 4 200 15 14 14
si4-b06-m800.04 1 3 800 417 315 277
