instance sat family size vbbjdpd ttvbbjdpd32j ttvbbjdpd32g
si6-r001-m600.04 1 7 600 1105 71 69
si6-r001-m600.05 1 7 600 1165 72 72
si2-m4Dr2-m1296.05 1 6 1296 586 84 78
si2-m4Dr2-m1296.09 1 6 1296 268 89 68
si2-m4Dr2-m1296.02 1 6 1296 507 107 91
si2-m4Dr2-m1296.07 1 6 1296 460 88 77
si2-m4Dr2-m1296.00 1 6 1296 608 91 88
si2-m4Dr2-m1296.06 1 6 1296 272 70 65
si2-m4Dr2-m1296.08 1 6 1296 276 74 64
si2-m4Dr2-m1296.01 1 6 1296 590 137 133
si2-m4Dr2-m1296.03 1 6 1296 254 72 65
si2-m4Dr2-m1296.04 1 6 1296 388 82 76
si4-b06m-m800.08 1 4 800 478 71 69
si4-b06m-m800.00 1 4 800 372 64 62
si4-b06m-m800.06 1 4 800 500 65 60
si4-b06m-m800.05 1 4 800 555 72 67
si4-b06m-m800.04 1 4 800 275 57 56
si4-b06m-m800.09 1 4 800 275 56 54
si4-b06m-m800.01 1 4 800 449 72 62
si4-b06m-m800.07 1 4 800 373 64 62
si4-b06m-m800.03 1 4 800 498 76 76
si4-b06m-m800.02 1 4 800 329 56 54
si6-m4Dr2-m625.08 1 6 625 193 50 48
si6-m4Dr2-m625.09 1 6 625 193 52 50
si6-m4Dr2-m625.05 1 6 625 197 52 49
si6-m4Dr2-m625.01 1 6 625 336 64 64
si6-m4Dr2-m625.06 1 6 625 351 57 56
si6-m4Dr2-m625.00 1 6 625 317 57 56
si6-m4Dr2-m625.03 1 6 625 291 59 55
si6-m4Dr2-m625.02 1 6 625 195 50 47
si6-m4Dr2-m625.07 1 6 625 350 59 56
si6-m4Dr2-m625.04 1 6 625 379 57 56
si2-m4D-m1296.01 1 5 1296 403 255 208
si2-m4D-m1296.08 1 5 1296 908 116 111
si2-m4D-m1296.06 1 5 1296 621 221 183
si2-m4D-m1296.05 1 5 1296 417 160 149
si2-m4D-m1296.09 1 5 1296 642 140 129
si2-m4D-m1296.03 1 5 1296 430 315 209
