instance family sat sequential no-backjumping no-all-diff no-supplementals full-all-diff threaded
si2_m4D_m256.06 5 1 52 52 52 52 52 102
si2_m4D_m256.04 5 1 52 52 59 58 52 71
si2_m4D_m256.07 5 1 52 52 77 77 52 127
si2_m4D_m256.01 5 1 52 52 52 52 52 90
si2_m4D_m256.09 5 1 54 54 55 64 54 245
si2_m4D_m256.00 5 1 52 52 52 58 52 149
si2_m4D_m256.05 5 1 98 98 128 252 90 264
si6_r01_m400.04 7 1 216563 216564 1506201 216590 179667 273143
si6_r01_m400.08 7 1 24369 24369 191540 24369 15337 15340
si6_r01_m400.07 7 1 48656 48656 963208 48680 42585 51850
si6_r01_m400.06 7 1 32086 32086 1491629 32086 21741 30700
si6_r01_m400.05 7 1 600192 600200 3383537 600192 442767 640607
si6_r01_m400.02 7 1 145011 145044 780157 145011 112508 132966
si6_r01_m400.00 7 1 141898 141913 461493 141950 95804 123034
si6_r01_m400.03 7 1 45199 45199 1173400 45199 34910 36673
si6_r01_m400.01 7 1 55288 55289 1309591 55289 49744 53358
si6_r01_m400.09 7 1 255710 255710 1746506 255710 180581 269955
si2_m4Dr4_m625.07 6 1 127 127 131 126 126 127
si2_m4Dr4_m625.02 6 1 126 126 126 137 126 126
si2_m4Dr4_m625.03 6 1 126 126 126 127 126 126
si2_m4Dr4_m625.00 6 1 126 126 126 133 126 126
si2_m4Dr4_m625.05 6 1 126 126 126 126 126 126
si2_m4Dr4_m625.06 6 1 141 141 144 30525 141 151
si2_m4Dr4_m625.09 6 1 490 703 910 16543611 463 2605
si2_m4Dr4_m625.01 6 1 126 126 126 974 126 126
si2_m4Dr4_m625.08 6 1 126 126 126 14376 126 200
si2_m4Dr4_m625.04 6 1 140 142 142 201 140 155
si4_r01_m400.01 7 1 1919 1919 28985 1919 1615 36741
si4_r01_m400.08 7 1 1384834 1384845 3473944 1384833 1215866 1471263
si4_r01_m400.02 7 1 5560678 5561719 10306333 5560680 4986925 5861313
si4_r01_m400.03 7 1 651133 651355 1050031 651147 635416 628454
si4_r01_m400.07 7 1 1101216 1101464 2774634 1101259 903687 1020589
si4_r01_m400.06 7 1 65755 65775 288643 65755 61679 74571
si4_r01_m400.04 7 1 5591160 5597984 8438045 5591351 5175886 5826294
si4_r01_m400.00 7 1 9426571 9433404 15356103 9426839 8242514 10359471
si4_r01_m400.05 7 1 240181 240181 870721 240181 228805 271541
si4_r01_m400.09 7 1 1109809 1110007 1771824 1109810 1053158 1059525
si2_b09m_m400.09 4 1 81 81 85 83 81 81
si2_b09m_m400.03 4 1 82 82 107 98 81 85
si2_b09m_m400.01 4 1 81 81 81 81 81 81
si2_b09m_m400.08 4 1 81 81 91 81 81 82
si2_b09m_m400.05 4 1 81 81 81 377 81 81
si2_b09m_m400.06 4 1 81 81 83 81 81 81
si2_b09m_m400.00 4 1 81 81 81 81 81 81
si2_b09m_m400.02 4 1 81 81 81 81 81 81
si2_b09m_m400.04 4 1 81 81 83 81 81 81
si2_b09m_m400.07 4 1 81 81 81 86 81 81
si2_b09_m800.07 3 1 161 161 161 161 161 3028
si2_b09_m800.04 3 1 161 161 161 161 161 2679
si2_b09_m800.05 3 1 161 161 161 161 161 3378
si2_b09_m800.00 3 1 161 161 161 161 161 3413
si2_b09_m800.02 3 1 161 161 161 161 161 3527
si2_b09_m800.01 3 1 161 161 161 161 161 2651
si2_b09_m800.08 3 1 161 161 161 161 161 3390
si2_b09_m800.09 3 1 161 161 161 161 161 3483
si2_b09_m800.03 3 1 161 161 161 161 161 2938
si2_b09_m800.06 3 1 161 161 161 161 161 2763
si6_b03_m400.04 3 1 241 241 241 241 241 4557
si6_b03_m400.09 3 1 241 241 241 241 241 4796
si6_b03_m400.02 3 1 241 241 241 241 241 4612
si6_b03_m400.06 3 1 241 241 241 241 241 4791
si6_b03_m400.05 3 1 241 241 241 241 241 5336
si6_b03_m400.08 3 1 241 241 241 241 241 5042
si6_b03_m400.01 3 1 241 241 241 241 241 5065
si6_b03_m400.07 3 1 241 241 241 241 241 5183
si6_b03_m400.03 3 1 241 241 241 241 241 4966
si6_b03_m400.00 3 1 241 241 241 241 241 4948
si2_r005_m600.03 7 1 623912 647201 872425 750967 616637 643440
si2_r005_m600.00 7 1 15299650 15948566 16155356 12534701 15246433 14576158
si2_r005_m600.06 7 1 942181 964347 1035671 1028633 937926 995300
si2_r005_m600.01 7 1 3764976 3959710 4076595 4084512 3742640 3612316
si2_r005_m600.04 7 1 9424421 10000768 10314695 10517888 9359047 9502907
si2_r005_m600.09 7 1 858182 859118 1240495 928034 818482 866060
si2_r005_m600.05 7 1 45575857 47364267 50355503 7514879 44996316 46493011
si2_r005_m600.02 7 1 10333495 10675120 11515302 9396396 10192093 10644024
si2_r005_m600.08 7 1 2294902 2354056 2530592 30184576 2280156 947318
si2_r005_m600.07 7 1 233818 234457 275890 566463 232732 226901
si4_r01_m600.05 7 1 253588 253588 1668023 253588 163097 332254
si4_r01_m600.02 7 1 466397 466399 1195356 466397 438230 709027
si4_r01_m600.03 7 1 2279452 2279563 4939387 2279452 1943950 2509207
si4_r01_m600.07 7 1 4026555 4027206 9918727 4026555 3615475 4420100
si4_r01_m600.08 7 1 3277425 3277737 7954733 3277425 2902192 3292280
si4_r01_m600.06 7 1 1176099 1176516 3383634 1176099 1092139 1261526
si4_r01_m600.01 7 1 12257999 12258861 18001882 12257999 11172889 12361420
si4_r01_m600.04 7 1 3388915 3389048 7958827 3388915 3071954 3529209
si4_r01_m600.00 7 1 7790299 7792559 18881583 7790299 6558951 8907846
si4_r01_m600.09 7 1 1925625 1925654 10277861 1925625 1113833 1886647
si2_b09_m400.04 3 1 81 81 81 81 81 481
si2_b09_m400.08 3 1 81 81 81 81 81 375
si2_b09_m400.05 3 1 81 81 81 81 81 465
si2_b09_m400.01 3 1 81 81 81 81 81 460
si2_b09_m400.03 3 1 81 81 81 81 81 472
si2_b09_m400.02 3 1 81 81 81 81 81 424
si2_b09_m400.07 3 1 81 81 81 81 81 579
si2_b09_m400.09 3 1 81 81 81 81 81 458
si2_b09_m400.06 3 1 81 81 81 81 81 487
si2_b09_m400.00 3 1 81 81 81 81 81 461
si4_b06_m200.06 3 1 81 81 81 81 81 109
si4_b06_m200.03 3 1 81 81 81 81 81 95
si4_b06_m200.02 3 1 81 81 81 81 81 259
si4_b06_m200.07 3 1 81 81 81 81 81 117
si4_b06_m200.05 3 1 81 81 81 81 81 194
si4_b06_m200.08 3 1 81 81 81 81 81 286
si4_b06_m200.00 3 1 81 81 81 81 81 381
si4_b06_m200.04 3 1 81 81 81 81 81 93
si4_b06_m200.01 3 1 81 81 81 81 81 148
si4_b06_m200.09 3 1 81 81 81 81 81 215
si4_r005_m400.06 7 1 73855 74168 146296 56506 67890 64469
si4_r005_m400.03 7 1 12970 12973 91029 172920 10225 10631
si4_r005_m400.07 7 1 88257 88311 138263 152972 83884 106881
si4_r005_m400.01 7 1 9839 9839 37046 17514 9655 10394
si4_r005_m400.04 7 1 20794 20802 35362 30564 18951 17610
si4_r005_m400.00 7 1 21922 21936 38670 30392 20839 53617
si4_r005_m400.09 7 1 24771 24777 53801 36457 23995 23219
si4_r005_m400.05 7 1 10910 10921 47857 21571 10547 10316
si4_r005_m400.08 7 1 3865 3865 9880 5321 3850 3569
si4_r005_m400.02 7 1 56685 56841 124382 99429 53078 46767
si4_m4Dr2_m1296.07 6 1 519 519 519 519 519 519
si4_m4Dr2_m1296.00 6 1 519 519 519 519 519 519
si4_m4Dr2_m1296.05 6 1 519 519 519 519 519 519
si4_m4Dr2_m1296.04 6 1 519 519 519 519 519 519
si4_m4Dr2_m1296.08 6 1 519 519 519 2472 519 529
si4_m4Dr2_m1296.01 6 1 519 519 519 519 519 519
si4_m4Dr2_m1296.06 6 1 519 519 519 519 519 519
si4_m4Dr2_m1296.02 6 1 519 519 519 519 519 519
si4_m4Dr2_m1296.03 6 1 519 519 519 6603 519 519
si4_m4Dr2_m1296.09 6 1 519 519 519 519 519 519
si6_b09_m800.03 3 1 481 481 481 481 481 13467
si6_b09_m800.09 3 1 481 481 481 481 481 12615
si6_b09_m800.07 3 1 481 481 481 481 481 12405
si6_b09_m800.05 3 1 481 481 481 481 481 12953
si6_b09_m800.04 3 1 481 481 481 481 481 12515
si6_b09_m800.01 3 1 481 481 481 481 481 13837
si6_b09_m800.00 3 1 481 481 481 481 481 13802
si6_b09_m800.02 3 1 481 481 481 481 481 12230
si6_b09_m800.06 3 1 481 481 481 481 481 13791
si6_b09_m800.08 3 1 481 481 481 481 481 13158
si6_b06m_m400.00 4 1 241 241 241 241 241 241
si6_b06m_m400.08 4 1 241 241 241 241 241 241
si6_b06m_m400.03 4 1 241 241 241 241 241 241
si6_b06m_m400.04 4 1 241 241 241 241 241 241
si6_b06m_m400.06 4 1 241 241 241 241 241 241
si6_b06m_m400.07 4 1 241 241 241 241 241 241
si6_b06m_m400.09 4 1 241 241 241 241 241 241
si6_b06m_m400.02 4 1 241 241 241 241 241 241
si6_b06m_m400.01 4 1 241 241 241 241 241 241
si6_b06m_m400.05 4 1 241 241 241 241 241 241
si2_m4Dr4_m1296.08 6 1 268 268 269 428 267 275
si2_m4Dr4_m1296.07 6 1 260 260 260 260 260 260
si2_m4Dr4_m1296.03 6 1 260 260 260 3199 260 269
si2_m4Dr4_m1296.05 6 1 260 260 260 260 260 260
si2_m4Dr4_m1296.06 6 1 260 260 260 260 260 260
si2_m4Dr4_m1296.04 6 1 260 260 260 260 260 260
si2_m4Dr4_m1296.09 6 1 260 260 260 493 260 262
si2_m4Dr4_m1296.01 6 1 261 261 261 264 261 262
si2_m4Dr4_m1296.00 6 1 260 260 261 273 260 260
si2_m4Dr4_m1296.02 6 1 263 263 265 2172 263 267
si6_m4Dr6_m1296.02 6 1 778 778 778 778 778 778
si6_m4Dr6_m1296.08 6 1 778 778 778 778 778 778
si6_m4Dr6_m1296.07 6 1 778 778 778 778 778 778
si6_m4Dr6_m1296.06 6 1 778 778 778 778 778 778
si6_m4Dr6_m1296.03 6 1 778 778 778 788 778 778
si6_m4Dr6_m1296.04 6 1 778 778 778 778 778 778
si6_m4Dr6_m1296.05 6 1 778 778 778 778 778 778
si6_m4Dr6_m1296.00 6 1 778 778 778 778 778 778
si6_m4Dr6_m1296.09 6 1 778 778 778 778 778 778
si6_m4Dr6_m1296.01 6 1 778 778 778 780 778 778
si4_m4Dr2_m256.00 6 1 106 106 107 393 105 108
si4_m4Dr2_m256.01 6 1 103 103 103 104 103 103
si4_m4Dr2_m256.05 6 1 103 103 103 103 103 103
si4_m4Dr2_m256.04 6 1 103 103 103 133 103 103
si4_m4Dr2_m256.08 6 1 103 103 103 103 103 103
si4_m4Dr2_m256.07 6 1 103 103 103 106 103 103
si4_m4Dr2_m256.06 6 1 103 103 103 103 103 103
si4_m4Dr2_m256.02 6 1 103 103 103 103 103 103
si4_m4Dr2_m256.09 6 1 104 104 105 145 104 104
si4_m4Dr2_m256.03 6 1 103 103 103 155 103 103
si4_b09m_m200.01 4 1 81 81 81 81 81 81
si4_b09m_m200.00 4 1 81 81 82 87 81 81
si4_b09m_m200.03 4 1 81 81 82 94 81 82
si4_b09m_m200.06 4 1 81 81 89 84 81 81
si4_b09m_m200.02 4 1 81 81 81 81 81 81
si4_b09m_m200.04 4 1 81 81 81 81 81 81
si4_b09m_m200.05 4 1 81 81 81 81 81 81
si4_b09m_m200.07 4 1 81 81 81 81 81 81
si4_b09m_m200.08 4 1 81 81 81 81 81 81
si4_b09m_m200.09 4 1 81 81 83 81 81 81
si4_m4Dr4_m625.07 6 1 251 251 251 293 251 251
si4_m4Dr4_m625.05 6 1 251 251 251 251 251 251
si4_m4Dr4_m625.01 6 1 251 251 251 252 251 251
si4_m4Dr4_m625.08 6 1 251 251 251 284 251 251
si4_m4Dr4_m625.09 6 1 251 251 251 284 251 251
si4_m4Dr4_m625.00 6 1 251 251 251 2653 251 251
si4_m4Dr4_m625.04 6 1 251 251 251 252 251 251
si4_m4Dr4_m625.06 6 1 251 251 251 251 251 252
si4_m4Dr4_m625.03 6 1 251 251 251 251 251 251
si4_m4Dr4_m625.02 6 1 251 251 251 251 251 251
si4_m4Dr4_m1296.03 6 1 519 519 519 519 519 519
si4_m4Dr4_m1296.01 6 1 519 519 519 574 519 519
si4_m4Dr4_m1296.00 6 1 519 519 519 519 519 519
si4_m4Dr4_m1296.07 6 1 519 519 519 519 519 519
si4_m4Dr4_m1296.02 6 1 519 519 519 519 519 519
si4_m4Dr4_m1296.04 6 1 519 519 519 519 519 519
si4_m4Dr4_m1296.09 6 1 519 519 519 529 519 520
si4_m4Dr4_m1296.06 6 1 520 520 520 1566 520 520
si4_m4Dr4_m1296.08 6 1 519 519 519 519 519 519
si4_m4Dr4_m1296.05 6 1 519 519 519 1091 519 519
si2_r005_m400.05 7 1 330312 333737 414209 548178 329638 340941
si2_r005_m400.06 7 1 154361 156843 171777 167081 153597 146094
si2_r005_m400.08 7 1 194745 199407 219276 332701 193401 179442
si2_r005_m400.02 7 1 33708162 34761796 38536745 8311830 33013488 36083865
si2_r005_m400.03 7 1 497641 537164 574469 129710 494868 371606
si2_r005_m400.00 7 1 82796 84733 104811 144681 80948 67319
si2_r005_m400.07 7 1 1182260 1249920 1243394 187443 1177678 650258
si2_r005_m400.09 7 1 10974 11320 15987 14723 10532 5387
si2_r005_m400.04 7 1 679787 706413 739743 1169577 675849 685027
si2_r005_m400.01 7 1 22207 22300 41130 24731 22083 20918
si2_b06m_m400.03 4 1 81 81 81 125 81 81
si2_b06m_m400.06 4 1 81 81 81 84 81 81
si2_b06m_m400.05 4 1 81 81 82 95 81 81
si2_b06m_m400.01 4 1 81 81 82 81 81 81
si2_b06m_m400.00 4 1 81 81 81 88 81 81
si2_b06m_m400.08 4 1 81 81 81 92 81 81
si2_b06m_m400.07 4 1 81 81 81 81 81 81
si2_b06m_m400.09 4 1 81 81 81 81 81 81
si2_b06m_m400.04 4 1 81 81 81 101 81 83
si2_b06m_m400.02 4 1 81 81 81 84 81 81
si6_r005_m600.02 7 1 14016 14017 88714 17560 10064 27803
si6_r005_m600.08 7 1 14982 14982 37163 17712 11969 14193
si6_r005_m600.03 7 1 119376 119380 221070 138355 102086 138653
si6_r005_m600.05 7 1 61410 61411 222213 83347 48521 79487
si6_r005_m600.07 7 1 58146 58150 140295 68191 47578 59401
si6_r005_m600.04 7 1 56064 56065 291910 71041 49402 60229
si6_r005_m600.06 7 1 155248 155253 455121 192380 113202 160558
si6_r005_m600.01 7 1 3720 3720 90948 3999 3019 4741
si6_r005_m600.09 7 1 86272 86273 349278 111410 60238 112154
si6_r005_m600.00 7 1 9185 9185 43329 11537 5416 11592
si6_r005_m200.02 7 1 728 728 1312 1975 668 789
si6_r005_m200.08 7 1 586 586 2062 4384 530 921
si6_r005_m200.09 7 1 169 169 224 480 166 1123
si6_r005_m200.05 7 1 850 850 3414 11680 767 989
si6_r005_m200.03 7 1 267 267 724 473 252 369
si6_r005_m200.00 7 1 326 326 574 16899 308 1246
si6_r005_m200.04 7 1 294 294 1173 4792 268 305
si6_r005_m200.07 7 1 400 400 955 1117 355 290
si6_r005_m200.01 7 1 157 157 201 276 151 619
si6_r005_m200.06 7 1 121 121 132 122 121 234
si2_m4Dr6_m625.06 6 1 126 126 126 184 126 126
si2_m4Dr6_m625.08 6 1 126 126 126 126 126 127
si2_m4Dr6_m625.07 6 1 126 126 126 126 126 128
si2_m4Dr6_m625.03 6 1 126 126 126 147 126 146
si2_m4Dr6_m625.04 6 1 128 128 129 142 128 128
si2_m4Dr6_m625.05 6 1 126 126 126 143 126 126
si2_m4Dr6_m625.09 6 1 129 129 132 2328 127 129
si2_m4Dr6_m625.01 6 1 127 127 127 258 127 127
si2_m4Dr6_m625.02 6 1 130 130 130 685 126 147
si2_m4Dr6_m625.00 6 1 126 126 126 126 126 126
si6_b03_m800.02 3 1 481 481 481 481 481 13572
si6_b03_m800.04 3 1 481 481 481 481 481 12969
si6_b03_m800.03 3 1 481 481 481 481 481 13396
si6_b03_m800.05 3 1 481 481 481 481 481 12536
si6_b03_m800.06 3 1 481 481 481 481 481 11857
si6_b03_m800.01 3 1 481 481 481 481 481 13635
si6_b03_m800.00 3 1 481 481 481 481 481 12585
si6_b03_m800.07 3 1 481 481 481 481 481 12873
si6_b03_m800.09 3 1 481 481 481 481 481 13056
si6_b03_m800.08 3 1 481 481 481 481 481 12898
si4_m4D_m1296.09 5 1 519 519 519 519 519 1851
si4_m4D_m1296.06 5 1 519 519 519 519 519 1816
si4_m4D_m1296.05 5 1 519 519 519 520 519 1271
si4_m4D_m1296.00 5 1 757 757 663 4359 742 11010
si4_m4D_m1296.03 5 1 1357 1359 3115 2661 1262 19247
si4_m4D_m1296.04 5 1 519 519 519 533 519 1807
si4_m4D_m1296.08 5 1 1e9 1e9 1e9 1e9 1e9 12216
si4_m4D_m1296.02 5 1 1783 1783 3696 3780 1459 13536
si4_m4D_m1296.01 5 1 519 519 519 519 519 1996
si4_m4D_m1296.07 5 1 519 519 519 520 519 1971
si6_b03m_m400.03 4 1 241 241 241 241 241 241
si6_b03m_m400.01 4 1 241 241 241 241 241 241
si6_b03m_m400.09 4 1 241 241 241 293 241 241
si6_b03m_m400.08 4 1 241 241 241 243 241 241
si6_b03m_m400.07 4 1 241 241 241 241 241 241
si6_b03m_m400.02 4 1 241 241 241 243 241 241
si6_b03m_m400.05 4 1 241 241 241 241 241 241
si6_b03m_m400.00 4 1 241 241 241 244 241 241
si6_b03m_m400.06 4 1 241 241 241 242 241 241
si6_b03m_m400.04 4 1 241 241 241 244 241 241
si4_m4D_m256.07 5 1 103 103 103 103 103 154
si4_m4D_m256.06 5 1 103 103 103 103 103 147
si4_m4D_m256.05 5 1 103 103 103 103 103 384
si4_m4D_m256.08 5 1 119 119 153 190 114 306
si4_m4D_m256.04 5 1 103 103 141 117 103 363
si4_m4D_m256.09 5 1 147 147 212 268 135 371
si4_m4D_m256.02 5 1 103 103 110 111 103 433
si4_m4D_m256.00 5 1 130 130 183 212 119 363
si4_m4D_m256.03 5 1 104 104 103 103 103 294
si4_m4D_m256.01 5 1 103 103 139 103 103 346
si6_b06m_m800.07 4 1 481 481 481 481 481 481
si6_b06m_m800.04 4 1 481 481 482 482 481 481
si6_b06m_m800.01 4 1 481 481 481 481 481 481
si6_b06m_m800.00 4 1 481 481 481 481 481 481
si6_b06m_m800.05 4 1 481 481 481 481 481 481
si6_b06m_m800.08 4 1 481 481 481 481 481 481
si6_b06m_m800.09 4 1 481 481 481 481 481 481
si6_b06m_m800.02 4 1 481 481 481 481 481 481
si6_b06m_m800.03 4 1 481 481 481 481 481 481
si6_b06m_m800.06 4 1 481 481 481 481 481 481
si4_r001_m400.08 7 1 308 308 382 2236049545 298 309
si4_r001_m400.06 7 1 162 162 162 5487351 161 177
si4_r001_m400.02 7 1 161 161 161 2373 161 192
si4_r001_m400.00 7 1 994 995 1117 40314 990 1081
si4_r001_m400.04 7 1 187 187 191 10745966 187 225
si4_r001_m400.03 7 1 164 164 164 2206841 164 190
si4_r001_m400.09 7 1 170 170 206 88692 167 191
si4_r001_m400.05 7 1 3815 3838 4305 237388619 3743 3761
si4_r001_m400.01 7 1 166 166 171 3170058 166 170
si4_r001_m400.07 7 1 170 170 183 1184643 170 175
si2_m4Dr6_m1296.00 6 1 260 260 260 858 260 262
si2_m4Dr6_m1296.01 6 1 260 260 260 280 260 260
si2_m4Dr6_m1296.09 6 1 260 260 260 300 260 260
si2_m4Dr6_m1296.06 6 1 260 260 260 260 260 260
si2_m4Dr6_m1296.03 6 1 260 260 260 262 260 260
si2_m4Dr6_m1296.02 6 1 260 260 260 260 260 260
si2_m4Dr6_m1296.05 6 1 260 260 260 898 260 260
si2_m4Dr6_m1296.08 6 1 260 260 260 291 260 260
si2_m4Dr6_m1296.04 6 1 260 260 260 1016 260 261
si2_m4Dr6_m1296.07 6 1 262 262 262 784 262 266
si2_b03_m800.07 3 1 161 161 161 161 161 3730
si2_b03_m800.08 3 1 161 161 161 161 161 3034
si2_b03_m800.04 3 1 161 161 161 161 161 3044
si2_b03_m800.05 3 1 161 161 161 161 161 3471
si2_b03_m800.09 3 1 161 161 161 161 161 3084
si2_b03_m800.00 3 1 161 161 161 161 161 4152
si2_b03_m800.02 3 1 161 161 161 161 161 2845
si2_b03_m800.03 3 1 161 161 161 161 161 3503
si2_b03_m800.01 3 1 161 161 161 161 161 3504
si2_b03_m800.06 3 1 161 161 161 161 161 3763
si4_b03m_m200.05 4 1 81 81 81 83 81 81
si4_b03m_m200.02 4 1 81 81 81 81 81 81
si4_b03m_m200.04 4 1 81 81 81 81 81 81
si4_b03m_m200.07 4 1 81 81 81 81 81 81
si4_b03m_m200.00 4 1 81 81 81 81 81 81
si4_b03m_m200.06 4 1 81 81 81 81 81 81
si4_b03m_m200.03 4 1 81 81 81 81 81 81
si4_b03m_m200.09 4 1 81 81 81 81 81 81
si4_b03m_m200.08 4 1 81 81 81 84 81 81
si4_b03m_m200.01 4 1 81 81 81 88 81 81
si2_b06m_m200.04 4 1 41 41 41 120 41 41
si2_b06m_m200.03 4 1 41 41 41 41 41 41
si2_b06m_m200.08 4 1 41 41 41 47 41 41
si2_b06m_m200.06 4 1 41 41 41 41 41 41
si2_b06m_m200.05 4 1 41 41 41 42 41 41
si2_b06m_m200.02 4 1 41 41 41 41 41 41
si2_b06m_m200.00 4 1 41 41 41 41 41 41
si2_b06m_m200.01 4 1 41 41 41 58 41 42
si2_b06m_m200.09 4 1 41 41 47 89 41 41
si2_b06m_m200.07 4 1 41 41 43 45 41 41
si6_m4Dr4_m625.05 6 1 376 376 376 376 376 376
si6_m4Dr4_m625.09 6 1 376 376 376 383 376 376
si6_m4Dr4_m625.04 6 1 376 376 376 376 376 376
si6_m4Dr4_m625.00 6 1 376 376 376 376 376 376
si6_m4Dr4_m625.08 6 1 376 376 376 376 376 376
si6_m4Dr4_m625.06 6 1 376 376 376 376 376 376
si6_m4Dr4_m625.01 6 1 376 376 376 389 376 376
si6_m4Dr4_m625.03 6 1 376 376 376 383 376 376
si6_m4Dr4_m625.07 6 1 376 376 376 376 376 376
si6_m4Dr4_m625.02 6 1 376 376 376 376 376 376
si4_b03_m200.06 3 1 81 81 81 81 81 103
si4_b03_m200.02 3 1 81 81 81 81 81 99
si4_b03_m200.07 3 1 81 81 81 81 81 151
si4_b03_m200.04 3 1 81 81 81 81 81 310
si4_b03_m200.03 3 1 81 81 81 81 81 97
si4_b03_m200.05 3 1 81 81 81 81 81 161
si4_b03_m200.09 3 1 81 81 81 81 81 134
si4_b03_m200.01 3 1 81 81 81 81 81 130
si4_b03_m200.00 3 1 81 81 81 81 81 102
si4_b03_m200.08 3 1 81 81 81 81 81 409
si2_b03_m400.03 3 1 81 81 81 81 81 572
si2_b03_m400.06 3 1 81 81 81 81 81 407
si2_b03_m400.07 3 1 81 81 81 81 81 378
si2_b03_m400.01 3 1 81 81 81 81 81 578
si2_b03_m400.05 3 1 81 81 81 81 81 302
si2_b03_m400.09 3 1 81 81 81 81 81 610
si2_b03_m400.02 3 1 81 81 81 81 81 652
si2_b03_m400.00 3 1 81 81 81 81 81 159
si2_b03_m400.08 3 1 81 81 81 81 81 303
si2_b03_m400.04 3 1 81 81 81 81 81 536
si4_b09_m200.02 3 1 81 81 81 81 81 167
si4_b09_m200.01 3 1 81 81 81 81 81 125
si4_b09_m200.00 3 1 81 81 81 81 81 216
si4_b09_m200.09 3 1 81 81 81 81 81 153
si4_b09_m200.08 3 1 81 81 81 81 81 100
si4_b09_m200.04 3 1 81 81 81 81 81 138
si4_b09_m200.06 3 1 81 81 81 81 81 160
si4_b09_m200.05 3 1 81 81 81 81 81 221
si4_b09_m200.07 3 1 81 81 81 81 81 101
si4_b09_m200.03 3 1 81 81 81 81 81 266
si4_m4Dr4_m256.05 6 1 103 103 103 103 103 103
si4_m4Dr4_m256.09 6 1 103 103 103 108 103 103
si4_m4Dr4_m256.01 6 1 103 103 103 118 103 103
si4_m4Dr4_m256.03 6 1 104 104 104 217 104 104
si4_m4Dr4_m256.06 6 1 103 103 104 107 103 103
si4_m4Dr4_m256.07 6 1 103 103 103 107 103 103
si4_m4Dr4_m256.00 6 1 103 103 109 163 103 103
si4_m4Dr4_m256.02 6 1 103 103 103 131 103 103
si4_m4Dr4_m256.08 6 1 103 103 103 123 103 103
si4_m4Dr4_m256.04 6 1 106 106 106 127 105 106
si2_m4D_m625.01 5 1 995 995 1462 1759 976 3436
si2_m4D_m625.00 5 1 130 130 136 202 134 339
si2_m4D_m625.08 5 1 134 134 130 160 142 3583
si2_m4D_m625.04 5 1 164 164 215 667 159 659
si2_m4D_m625.09 5 1 15016 15016 15671 31993 15560 6005
si2_m4D_m625.02 5 1 126 126 128 168 126 975
si2_m4D_m625.05 5 1 6284 6284 8204 19679 6010 4044
si2_m4D_m625.06 5 1 5058 5058 4968 12896 5485 3949
si2_m4D_m625.07 5 1 426 426 582 571 412 4694
si2_m4D_m625.03 5 1 314 314 712 13242 312 643
si4_b09_m800.03 3 1 321 321 321 321 321 7835
si4_b09_m800.02 3 1 321 321 321 321 321 8138
si4_b09_m800.09 3 1 321 321 321 321 321 8094
si4_b09_m800.06 3 1 321 321 321 321 321 8140
si4_b09_m800.04 3 1 321 321 321 321 321 7417
si4_b09_m800.05 3 1 321 321 321 321 321 8529
si4_b09_m800.00 3 1 321 321 321 321 321 8719
si4_b09_m800.01 3 1 321 321 321 321 321 8503
si4_b09_m800.07 3 1 321 321 321 321 321 8595
si4_b09_m800.08 3 1 321 321 321 321 321 8649
si2_m4Dr4_m256.05 6 1 52 52 53 384 52 54
si2_m4Dr4_m256.02 6 1 52 52 52 72 52 61
si2_m4Dr4_m256.00 6 1 56 56 57 1334 56 58
si2_m4Dr4_m256.07 6 1 54 54 58 220 54 71
si2_m4Dr4_m256.03 6 1 52 52 52 136 52 55
si2_m4Dr4_m256.06 6 1 52 52 52 52 52 52
si2_m4Dr4_m256.04 6 1 58 58 74 3485 58 68
si2_m4Dr4_m256.09 6 1 52 52 52 52 52 54
si2_m4Dr4_m256.01 6 1 52 52 52 59 52 52
si2_m4Dr4_m256.08 6 1 116 118 229 14717 103 91
si6_m4Dr2_m256.04 6 1 154 154 154 154 154 154
si6_m4Dr2_m256.08 6 1 154 154 154 154 154 154
si6_m4Dr2_m256.00 6 1 154 154 154 154 154 154
si6_m4Dr2_m256.07 6 1 154 154 154 154 154 154
si6_m4Dr2_m256.01 6 1 154 154 154 154 154 154
si6_m4Dr2_m256.09 6 1 154 154 154 161 154 154
si6_m4Dr2_m256.03 6 1 154 154 154 154 154 154
si6_m4Dr2_m256.05 6 1 154 154 154 157 154 154
si6_m4Dr2_m256.02 6 1 154 154 154 158 154 154
si6_m4Dr2_m256.06 6 1 154 154 154 154 154 154
si6_b06_m800.00 3 1 481 481 481 481 481 12502
si6_b06_m800.05 3 1 481 481 481 481 481 12174
si6_b06_m800.02 3 1 481 481 481 481 481 12082
si6_b06_m800.07 3 1 481 481 481 481 481 12800
si6_b06_m800.08 3 1 481 481 481 481 481 12900
si6_b06_m800.09 3 1 481 481 481 481 481 12425
si6_b06_m800.06 3 1 481 481 481 481 481 13754
si6_b06_m800.01 3 1 481 481 481 481 481 13628
si6_b06_m800.04 3 1 481 481 481 481 481 13568
si6_b06_m800.03 3 1 481 481 481 481 481 12654
si4_b09m_m800.06 4 1 321 321 321 321 321 321
si4_b09m_m800.01 4 1 321 321 322 321 321 321
si4_b09m_m800.02 4 1 321 321 321 321 321 321
si4_b09m_m800.08 4 1 321 321 321 321 321 321
si4_b09m_m800.04 4 1 321 321 321 321 321 321
si4_b09m_m800.03 4 1 321 321 322 321 321 321
