instance sat family density lad ttvbbjdpd32g vbbjdpd vbbjdpdnosup vf2 abscon snd
A.05 1 1 180 10.998000 12 41 7 12743 1253.000 2600.0
F.01 1 1 270 147.977000 550 2078 34 100000000 13076.000 58286.000
E.20 0 1 270 14.997000 672 3269 59 100000000 1954.000 51094.000
B.13 1 1 540 110.983000 76 351 60 100000000 11493.000 71410.00
A.14 1 1 180 40.993000 14 46 5 100000000 1310.00 3010.00
B.04 1 1 540 96.985000 76 372 81 100000000 11959.000 88151.000
C.13 1 1 900 697.893000 163 1215 174 100000000 48040.00 304466.000
F.07 1 1 270 174.973000 594 1534 22 100000000 12449.000 71324.000
E.13 0 1 270 17.997000 782 2828 43 100000000 2659.000 57135.000
E.14 0 1 270 113.982000 542 1746 22 100000000 13398.000 44473.000
A.11 1 1 180 10.998000 12 39 5 2169 1271.000 3040.00
si6-r005-m400.07 1 7 240 113124.802000 304 2866 959 100000000 7559.000 59752.000
si6-r005-m400.00 1 7 240 280898.296000 382 2954 810 100000000 46587.000 93229.000
si6-r005-m400.01 1 7 240 230748.920000 264 2899 600 100000000 72079.000 135419.000
si6-r005-m400.02 1 7 240 16066.557000 302 2354 248 100000000 9608.000 69163.000
si6-r005-m400.04 1 7 240 6654.988000 288 2385 454 100000000 29176.000 22129.000
si6-r005-m400.05 1 7 240 343026.851000 503 4054 2660 100000000 92587.000 181624.000
si6-r005-m400.09 1 7 240 8066.773000 237 2113 56 100000000 8297.000 24830.00
si6-r005-m400.03 1 7 240 550706.279000 386 2866 730 100000000 39876.000 123700.0
si6-r005-m400.06 1 7 240 6288.044000 256 2280 154 100000000 7898.000 30294.000
si6-r005-m400.08 1 7 240 119685.804000 459 2981 908 100000000 51823.000 103458.000
si6-m4Dr6-m625.04 1 6 375 85.986000 50 308 34 2 4870.00 37347.000
si6-m4Dr6-m625.01 1 6 375 130.980000 59 528 53 2 5340.00 29442.000
si6-m4Dr6-m625.09 1 6 375 94.985000 56 572 35 2 4997.000 27999.000
si6-m4Dr6-m625.07 1 6 375 80.987000 56 395 53 4 4824.000 42382.000
si6-m4Dr6-m625.00 1 6 375 82.987000 50 209 34 2 5387.000 32283.000
si6-m4Dr6-m625.08 1 6 375 375.942000 51 241 37 2 4512.000 37638.000
si6-m4Dr6-m625.05 1 6 375 80.987000 59 403 52 2 4955.000 26451.000
si6-m4Dr6-m625.06 1 6 375 74.988000 51 208 34 4 4878.000 35123.000
si6-m4Dr6-m625.02 1 6 375 84.987000 50 243 35 2 4898.000 44086.000
si6-m4Dr6-m625.03 1 6 375 78.987000 59 341 48 3 5506.000 33272.000
si4-m4Dr2-m625.09 1 6 250 190.970000 42 234 24 1 2960.00 32438.000
si4-m4Dr2-m625.04 1 6 250 394.939000 36 182 35 2 2576.000 19556.000
si4-m4Dr2-m625.02 1 6 250 43.993000 43 249 29 1 2300.0 18117.000
si4-m4Dr2-m625.07 1 6 250 44.993000 42 179 18 1 2506.000 28331.000
si4-m4Dr2-m625.00 1 6 250 117.982000 41 198 19 1 2635.000 21718.000
si4-m4Dr2-m625.08 1 6 250 145.977000 44 218 20 1 2856.000 30902.000
si4-m4Dr2-m625.01 1 6 250 135.979000 42 217 19 2 2719.000 22146.000
si4-m4Dr2-m625.06 1 6 250 52.991000 42 304 28 1 2777.000 24629.000
si4-m4Dr2-m625.03 1 6 250 391.940000 44 240 32 1 2657.000 20705.000
si4-m4Dr2-m625.05 1 6 250 154.976000 48 245 20 1 2616.000 30069.000
si2-r001-m600.00 1 7 120 9501.555000 108 179 100000000 100000000 11731.000 13904.000
si2-r001-m600.06 1 7 120 20565.873000 145 583 100000000 100000000 13234.000 64947.000
si2-r001-m600.04 1 7 120 3395.483000 281 327 10504 100000000 4359.000 12243.000
si2-r001-m600.07 1 7 120 115212.485000 158 914 100000000 100000000 11778.000 204846.000
si2-r001-m600.02 1 7 120 291724.651000 100 189 100000000 100000000 24611.000 182715.000
si2-r001-m600.08 1 7 120 35231.643000 520 385 100000000 100000000 432073.000 963706.000
si2-r001-m600.03 1 7 120 45619301.811000 201 225 100000000 100000000 46320.00 206103.000
si2-r001-m600.01 1 7 120 38436.156000 76 175 100000000 100000000 11945.000 110475.000
si2-r001-m600.05 1 7 120 35371.622000 266 178 100000000 100000000 17740.00 96367.000
si2-r001-m600.09 1 7 120 147831.526000 168 415 100000000 100000000 56235.000 37991.000
si2-m4Dr2-m256.09 1 6 51 38.994000 15 17 14 0 784.000 1295.000
si2-m4Dr2-m256.03 1 6 51 42.993000 14 18 8 0 1681.000 1952.000
si2-m4Dr2-m256.04 1 6 51 84.987000 15 30 116 0 718.000 1028.000
si2-m4Dr2-m256.07 1 6 51 8.998000 11 11 1 0 796.000 1296.000
si2-m4Dr2-m256.00 1 6 51 42.993000 11 14 17 0 825.000 1164.000
si2-m4Dr2-m256.06 1 6 51 83.987000 20 17 251 0 999.000 1920.00
si2-m4Dr2-m256.08 1 6 51 6.998000 13 21 2 0 655.000 1342.000
si2-m4Dr2-m256.05 1 6 51 19.996000 16 31 2 0 762.000 930.00
si2-m4Dr2-m256.01 1 6 51 34.994000 12 13 48 0 659.000 935.000
si2-m4Dr2-m256.02 1 6 51 20.996000 11 11 17 0 671.000 1335.000
si6-r001-m600.09 1 7 360 2539.613000 73 1087 47 100000000 5933.000 41996.000
si6-r001-m600.00 1 7 360 28248.705000 109 1118 3155 100000000 6189.000 49293.000
si6-r001-m600.07 1 7 360 10217.446000 82 1216 82 100000000 6132.000 47890.00
si6-r001-m600.03 1 7 360 31602.195000 89 1219 76 100000000 5703.000 86186.000
si6-r001-m600.01 1 7 360 3477.471000 74 1215 3600 100000000 6537.000 56692.000
si6-r001-m600.06 1 7 360 2484.622000 71 1111 204 100000000 6371.000 32559.000
si6-r001-m600.08 1 7 360 6583.999000 83 1171 1451 100000000 9716.000 64281.000
si6-r001-m600.02 1 7 360 30458.369000 75 1169 635 100000000 5655.000 70102.000
si6-r001-m600.04 1 7 360 4266.351000 69 1105 11499 100000000 6154.000 76934.000
si6-r001-m600.05 1 7 360 2947.551000 72 1165 70 100000000 5779.000 35348.000
si2-m4Dr2-m1296.05 1 6 259 748.886000 78 586 43 1 5120.00 58745.000
si2-m4Dr2-m1296.09 1 6 259 740.887000 68 268 48 3 5682.000 115413.000
si2-m4Dr2-m1296.02 1 6 259 2258.656000 91 507 6113 2 6495.000 232447.000
si2-m4Dr2-m1296.07 1 6 259 563.914000 77 460 43 1 5017.000 147796.000
si2-m4Dr2-m1296.00 1 6 259 102.984000 88 608 63 1 4748.000 71759.000
si2-m4Dr2-m1296.06 1 6 259 2883.561000 65 272 2117 2 5667.000 86158.000
si2-m4Dr2-m1296.08 1 6 259 1170.822000 64 276 54 1 5462.000 89603.000
si2-m4Dr2-m1296.01 1 6 259 2317.647000 133 590 124277 1 16073.000 68981.000
si2-m4Dr2-m1296.03 1 6 259 1228.813000 65 254 47 1 5052.000 75804.000
si2-m4Dr2-m1296.04 1 6 259 148.977000 76 388 41 3 4868.000 162401.000
si4-b06m-m800.08 1 4 320 79.987000 69 478 45 2 4082.000 32382.000
si4-b06m-m800.00 1 4 320 136.979000 62 372 31 2 4404.000 28652.000
si4-b06m-m800.06 1 4 320 85.986000 60 500 48 2 3986.000 30977.000
si4-b06m-m800.05 1 4 320 80.987000 67 555 31 2 5056.000 29158.000
si4-b06m-m800.04 1 4 320 117.982000 56 275 34 2 4393.000 33526.000
si4-b06m-m800.09 1 4 320 97.985000 54 275 31 2 4002.000 32634.000
si4-b06m-m800.01 1 4 320 89.986000 62 449 32 2 3979.000 31340.00
si4-b06m-m800.07 1 4 320 81.987000 62 373 32 2 4128.000 30965.000
si4-b06m-m800.03 1 4 320 88.986000 76 498 35 2 5288.000 28330.00
si4-b06m-m800.02 1 4 320 84.987000 54 329 40 2 4509.000 31069.000
si6-m4Dr2-m625.08 1 6 375 296.954000 48 193 35 2 5009.000 27679.000
si6-m4Dr2-m625.09 1 6 375 324.950000 50 193 34 2 4801.000 30863.000
si6-m4Dr2-m625.05 1 6 375 533.918000 49 197 47 3 4847.000 46715.000
si6-m4Dr2-m625.01 1 6 375 61.990000 64 336 32 2 5026.000 30504.000
si6-m4Dr2-m625.06 1 6 375 74.988000 56 351 37 2 5359.000 25368.000
si6-m4Dr2-m625.00 1 6 375 69.989000 56 317 32 3 5223.000 37554.000
si6-m4Dr2-m625.03 1 6 375 67.989000 55 291 47 3 5977.000 29967.000
si6-m4Dr2-m625.02 1 6 375 470.928000 47 195 44 3 4721.000 37006.000
si6-m4Dr2-m625.07 1 6 375 70.989000 56 350 45 2 4911.000 29412.000
si6-m4Dr2-m625.04 1 6 375 378.942000 56 379 43 2 4552.000 42323.000
si2-m4D-m1296.01 1 5 259 4052.383000 208 403 74 0 39393.000 126407.000
si2-m4D-m1296.08 1 5 259 668.898000 111 908 80 1 6021.000 64543.000
si2-m4D-m1296.06 1 5 259 3214.511000 183 621 467 0 491764.000 236747.000
si2-m4D-m1296.05 1 5 259 777.881000 149 417 84 1 6611.000 70664.000
si2-m4D-m1296.09 1 5 259 1515.769000 129 642 75 1 6811.000 81618.000
si2-m4D-m1296.03 1 5 259 2704.588000 209 430 74 0 13359.000 75627.000
si2-m4D-m1296.07 1 5 259 906.862000 124 447 62 1 6755.000 76375.000
si2-m4D-m1296.02 1 5 259 1261.808000 217 936 65 1 8299.000 65794.000
si2-m4D-m1296.04 1 5 259 1179.820000 195 703 85 1 6912.000 57020.00
si2-m4D-m1296.00 1 5 259 573.912000 118 550 150 1 6367.000 52559.000
si4-b03-m800.05 1 3 320 1706.740000 290 166 49 0 3940.00 14951.000
si4-b03-m800.00 1 3 320 1773.730000 300 168 31 0 3653.000 19695.000
si4-b03-m800.08 1 3 320 1746.734000 286 167 40 0 3804.000 15958.000
si4-b03-m800.09 1 3 320 1804.725000 297 201 33 0 4182.000 16779.000
si4-b03-m800.03 1 3 320 2289.651000 276 154 31 0 3510.00 15320.00
si4-b03-m800.02 1 3 320 1874.715000 294 150 32 0 4143.000 21626.000
si4-b03-m800.04 1 3 320 1726.737000 296 155 31 0 4186.000 15971.000
si4-b03-m800.01 1 3 320 2043.689000 279 207 52 0 3904.000 15736.000
si4-b03-m800.06 1 3 320 2342.643000 278 224 51 0 3768.000 18415.000
si4-b03-m800.07 1 3 320 1774.730000 286 150 31 0 3558.000 14989.000
si6-m4D-m1296.02 1 5 777 2930.554000 194 799 204 12 82757.000 389050.00
si6-m4D-m1296.07 1 5 777 10964.333000 434 853 339 100000000 186673.000 723974.000
si6-m4D-m1296.05 1 5 777 2897.559000 188 609 142 8 87031.000 425462.000
si6-m4D-m1296.09 1 5 777 9519.552000 474 867 256 100000000 226735.000 784215.000
si6-m4D-m1296.00 1 5 777 281012.279000 574 803598 1238633 100000000 226934.000 1261539.000
si6-m4D-m1296.08 1 5 777 3157.519000 185 746 144 12 85758.000 416936.000
si6-m4D-m1296.04 1 5 777 2848.566000 178 587 164 3 87387.000 459779.000
si6-m4D-m1296.06 1 5 777 11498.252000 508 1847 2047 100000000 213081.000 1088020.00
si6-m4D-m1296.01 1 5 777 10626.384000 538 1321 616 100000000 228441.000 756044.000
si6-m4D-m1296.03 1 5 777 17675.312000 761 6841 18051 100000000 324863.000 1090836.000
si6-r001-m200.05 1 7 120 42.993000 10 23 46 52017982 948.000 2309.000
si6-r001-m200.09 1 7 120 39.993000 10 16 5 5417538 856.000 2450.00
si6-r001-m200.07 1 7 120 4.999000 11 14 3 100000000 1003.000 1508.000
si6-r001-m200.02 1 7 120 28.995000 11 16 4 841834 1093.000 1829.000
si6-r001-m200.01 1 7 120 17.997000 10 14 2 31480496 912.000 1504.000
si6-r001-m200.00 1 7 120 11.998000 10 14 2 100000000 1037.000 1618.000
si6-r001-m200.04 1 7 120 22.996000 10 23 4 15796040 987.000 1707.000
si6-r001-m200.06 1 7 120 10.998000 11 14 2 100000000 938.000 1402.000
si6-r001-m200.08 1 7 120 6.998000 12 26 3 72211413 821.000 1949.000
si6-r001-m200.03 1 7 120 31.995000 11 16 4 100000000 896.000 1824.000
si4-b06-m400.06 1 3 160 474.927000 72 170 9 0 1255.000 4272.000
si4-b06-m400.07 1 3 160 532.918000 71 109 9 0 1399.000 4385.000
si4-b06-m400.09 1 3 160 479.927000 68 108 9 0 1404.000 4007.000
si4-b06-m400.01 1 3 160 503.923000 76 146 15 0 1306.000 3951.000
si4-b06-m400.04 1 3 160 478.927000 74 113 11 0 1754.000 4335.000
