instance sat lad vbbjdpd vbbjdpdnosup vb ttvbbjdpd32g vf2 snd
si6_r005_m400.09 1 8066.773000 2113 56 1892 237 100000000 24830.00
si6_r005_m400.03 1 550706.279000 2866 730 3572 386 100000000 123700.0
si6_r005_m400.06 1 6288.044000 2280 154 2172 256 100000000 30294.000
si6_r005_m400.08 1 119685.804000 2981 908 2705 459 100000000 103458.000
si6_m4Dr6_m625.04 1 85.986000 308 34 206 50 2 37347.000
si6_m4Dr6_m625.01 1 130.980000 528 53 349 59 2 29442.000
si6_m4Dr6_m625.09 1 94.985000 572 35 469 56 2 27999.000
si6_m4Dr6_m625.07 1 80.987000 395 53 355 56 4 42382.000
si6_m4Dr6_m625.00 1 82.987000 209 34 202 50 2 32283.000
si6_m4Dr6_m625.08 1 375.942000 241 37 370 51 2 37638.000
si6_m4Dr6_m625.05 1 80.987000 403 52 411 59 2 26451.000
si6_m4Dr6_m625.06 1 74.988000 208 34 215 51 4 35123.000
si6_m4Dr6_m625.02 1 84.987000 243 35 385 50 2 44086.000
si6_m4Dr6_m625.03 1 78.987000 341 48 440 59 3 33272.000
si4_m4Dr2_m625.09 1 190.970000 234 24 334 42 1 32438.000
si4_m4Dr2_m625.04 1 394.939000 182 35 161 36 2 19556.000
si4_m4Dr2_m625.02 1 43.993000 249 29 185 43 1 18117.000
si4_m4Dr2_m625.07 1 44.993000 179 18 213 42 1 28331.000
si4_m4Dr2_m625.00 1 117.982000 198 19 180 41 1 21718.000
si4_m4Dr2_m625.08 1 145.977000 218 20 321 44 1 30902.000
si4_m4Dr2_m625.01 1 135.979000 217 19 228 42 2 22146.000
si4_m4Dr2_m625.06 1 52.991000 304 28 176 42 1 24629.000
si4_m4Dr2_m625.03 1 391.940000 240 32 222 44 1 20705.000
si4_m4Dr2_m625.05 1 154.976000 245 20 228 48 1 30069.000
si2_r001_m600.00 1 9501.555000 179 100000000 233 108 100000000 13904.000
si2_r001_m600.06 1 20565.873000 583 100000000 812 145 100000000 64947.000
si2_r001_m600.04 1 3395.483000 327 10504 271 281 100000000 12243.000
si2_r001_m600.07 1 115212.485000 914 100000000 713 158 100000000 204846.000
si2_r001_m600.02 1 291724.651000 189 100000000 180 100 100000000 182715.000
si2_r001_m600.08 1 35231.643000 385 100000000 348 520 100000000 963706.000
si2_r001_m600.03 1 45619301.811000 225 100000000 247 201 100000000 206103.000
si2_r001_m600.01 1 38436.156000 175 100000000 164 76 100000000 110475.000
si2_r001_m600.05 1 35371.622000 178 100000000 190 266 100000000 96367.000
si2_r001_m600.09 1 147831.526000 415 100000000 485 168 100000000 37991.000
si2_m4Dr2_m256.09 1 38.994000 17 14 23 15 0 1295.000
si2_m4Dr2_m256.03 1 42.993000 18 8 23 14 0 1952.000
si2_m4Dr2_m256.04 1 84.987000 30 116 48 15 0 1028.000
si2_m4Dr2_m256.07 1 8.998000 11 1 11 11 0 1296.000
si2_m4Dr2_m256.00 1 42.993000 14 17 22 11 0 1164.000
si2_m4Dr2_m256.06 1 83.987000 17 251 19 20 0 1920.00
si2_m4Dr2_m256.08 1 6.998000 21 2 32 13 0 1342.000
si2_m4Dr2_m256.05 1 19.996000 31 2 31 16 0 930.00
si2_m4Dr2_m256.01 1 34.994000 13 48 19 12 0 935.000
si2_m4Dr2_m256.02 1 20.996000 11 17 11 11 0 1335.000
si6_r001_m600.09 1 2539.613000 1087 47 963 73 100000000 41996.000
si6_r001_m600.00 1 28248.705000 1118 3155 982 109 100000000 49293.000
si6_r001_m600.07 1 10217.446000 1216 82 1081 82 100000000 47890.00
si6_r001_m600.03 1 31602.195000 1219 76 1020 89 100000000 86186.000
si6_r001_m600.01 1 3477.471000 1215 3600 1024 74 100000000 56692.000
si6_r001_m600.06 1 2484.622000 1111 204 981 71 100000000 32559.000
si6_r001_m600.08 1 6583.999000 1171 1451 1065 83 100000000 64281.000
si6_r001_m600.02 1 30458.369000 1169 635 1035 75 100000000 70102.000
si6_r001_m600.04 1 4266.351000 1105 11499 969 69 100000000 76934.000
si6_r001_m600.05 1 2947.551000 1165 70 1132 72 100000000 35348.000
si2_m4Dr2_m1296.05 1 748.886000 586 43 418 78 1 58745.000
si2_m4Dr2_m1296.09 1 740.887000 268 48 260 68 3 115413.000
si2_m4Dr2_m1296.02 1 2258.656000 507 6113 462 91 2 232447.000
si2_m4Dr2_m1296.07 1 563.914000 460 43 421 77 1 147796.000
si2_m4Dr2_m1296.00 1 102.984000 608 63 563 88 1 71759.000
si2_m4Dr2_m1296.06 1 2883.561000 272 2117 363 65 2 86158.000
si2_m4Dr2_m1296.08 1 1170.822000 276 54 251 64 1 89603.000
si2_m4Dr2_m1296.01 1 2317.647000 590 124277 572 133 1 68981.000
si2_m4Dr2_m1296.03 1 1228.813000 254 47 239 65 1 75804.000
si2_m4Dr2_m1296.04 1 148.977000 388 41 360 76 3 162401.000
si4_b06m_m800.08 1 79.987000 478 45 410 69 2 32382.000
si4_b06m_m800.00 1 136.979000 372 31 442 62 2 28652.000
si4_b06m_m800.06 1 85.986000 500 48 364 60 2 30977.000
si4_b06m_m800.05 1 80.987000 555 31 582 67 2 29158.000
si4_b06m_m800.04 1 117.982000 275 34 252 56 2 33526.000
si4_b06m_m800.09 1 97.985000 275 31 249 54 2 32634.000
si4_b06m_m800.01 1 89.986000 449 32 415 62 2 31340.00
si4_b06m_m800.07 1 81.987000 373 32 531 62 2 30965.000
si4_b06m_m800.03 1 88.986000 498 35 462 76 2 28330.00
si4_b06m_m800.02 1 84.987000 329 40 397 54 2 31069.000
si6_m4Dr2_m625.08 1 296.954000 193 35 184 48 2 27679.000
si6_m4Dr2_m625.09 1 324.950000 193 34 277 50 2 30863.000
si6_m4Dr2_m625.05 1 533.918000 197 47 247 49 3 46715.000
si6_m4Dr2_m625.01 1 61.990000 336 32 317 64 2 30504.000
si6_m4Dr2_m625.06 1 74.988000 351 37 279 56 2 25368.000
si6_m4Dr2_m625.00 1 69.989000 317 32 239 56 3 37554.000
si6_m4Dr2_m625.03 1 67.989000 291 47 267 55 3 29967.000
si6_m4Dr2_m625.02 1 470.928000 195 44 176 47 3 37006.000
si6_m4Dr2_m625.07 1 70.989000 350 45 277 56 2 29412.000
si6_m4Dr2_m625.04 1 378.942000 379 43 402 56 2 42323.000
si2_m4D_m1296.01 1 4052.383000 403 74 416 208 0 126407.000
si2_m4D_m1296.08 1 668.898000 908 80 848 111 1 64543.000
si2_m4D_m1296.06 1 3214.511000 621 467 1000 183 0 236747.000
si2_m4D_m1296.05 1 777.881000 417 84 380 149 1 70664.000
si2_m4D_m1296.09 1 1515.769000 642 75 591 129 1 81618.000
si2_m4D_m1296.03 1 2704.588000 430 74 361 209 0 75627.000
si2_m4D_m1296.07 1 906.862000 447 62 436 124 1 76375.000
si2_m4D_m1296.02 1 1261.808000 936 65 852 217 1 65794.000
si2_m4D_m1296.04 1 1179.820000 703 85 639 195 1 57020.00
si2_m4D_m1296.00 1 573.912000 550 150 514 118 1 52559.000
si4_b03_m800.05 1 1706.740000 166 49 136 290 0 14951.000
si4_b03_m800.00 1 1773.730000 168 31 141 300 0 19695.000
si4_b03_m800.08 1 1746.734000 167 40 133 286 0 15958.000
si4_b03_m800.09 1 1804.725000 201 33 133 297 0 16779.000
si4_b03_m800.03 1 2289.651000 154 31 132 276 0 15320.00
si4_b03_m800.02 1 1874.715000 150 32 133 294 0 21626.000
si4_b03_m800.04 1 1726.737000 155 31 132 296 0 15971.000
si4_b03_m800.01 1 2043.689000 207 52 249 279 0 15736.000
si4_b03_m800.06 1 2342.643000 224 51 252 278 0 18415.000
si4_b03_m800.07 1 1774.730000 150 31 164 286 0 14989.000
si6_m4D_m1296.02 1 2930.554000 799 204 556 194 12 389050.00
si6_m4D_m1296.07 1 10964.333000 853 339 930 434 100000000 723974.000
si6_m4D_m1296.05 1 2897.559000 609 142 558 188 8 425462.000
si6_m4D_m1296.09 1 9519.552000 867 256 948 474 100000000 784215.000
si6_m4D_m1296.00 1 281012.279000 803598 1238633 979 574 100000000 1261539.000
si6_m4D_m1296.08 1 3157.519000 746 144 551 185 12 416936.000
si6_m4D_m1296.04 1 2848.566000 587 164 539 178 3 459779.000
si6_m4D_m1296.06 1 11498.252000 1847 2047 2232 508 100000000 1088020.00
si6_m4D_m1296.01 1 10626.384000 1321 616 1212 538 100000000 756044.000
si6_m4D_m1296.03 1 17675.312000 6841 18051 4345 761 100000000 1090836.000
si6_r001_m200.05 1 42.993000 23 46 13 10 52017982 2309.000
si6_r001_m200.09 1 39.993000 16 5 24 10 5417538 2450.00
si6_r001_m200.07 1 4.999000 14 3 12 11 100000000 1508.000
si6_r001_m200.02 1 28.995000 16 4 14 11 841834 1829.000
si6_r001_m200.01 1 17.997000 14 2 13 10 31480496 1504.000
si6_r001_m200.00 1 11.998000 14 2 13 10 100000000 1618.000
si6_r001_m200.04 1 22.996000 23 4 14 10 15796040 1707.000
si6_r001_m200.06 1 10.998000 14 2 22 11 100000000 1402.000
si6_r001_m200.08 1 6.998000 26 3 23 12 72211413 1949.000
si6_r001_m200.03 1 31.995000 16 4 13 11 100000000 1824.000
si4_b06_m400.06 1 474.927000 170 9 95 72 0 4272.000
si4_b06_m400.07 1 532.918000 109 9 164 71 0 4385.000
